,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507g,3253.018691,3106.617545,3046.090414,3008.321775,2965.791131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009g,2534.286611,2469.274843,2447.633435,2472.536246,2482.977215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507g,4.967,4.967,4.967,4.967,4.967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009g,9.888,9.888,9.888,9.888,9.888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
