Sensor,k,alpha
1,2641.027327728602,-0.24790545211824783
2,5740.162451320627,-0.4653246116493202
3,3898.427917425072,-0.12131593568979537
4,4649.259478121993,-0.23202105128036257
5,3500.569168761228,-0.3680318807592077
6,5990.6349640955905,-0.3146569513957595
7,8548.567780292775,-0.5320274626633575
8,4947.130534966146,-0.2404016260694825
9,3808.7771445746093,-0.2049355848562419
10,3955.3977666842356,-0.2931214071058922
11,4445.684442801724,-0.28671099856842
12,4101.08261654654,-0.2671380370708183
13,4039.2092454949684,-0.08779377798300149
14,7327.409412450435,-0.31051282785095363
15,2459.0420656748743,-0.24127069197014978
16,6082.878529608589,-0.029594898514653092
17,4225.830278679345,-0.22228815536695884
18,8074.7341182797745,-0.42421902891960345
19,11092.371963718362,-0.5440687090515209
20,10020.304856039109,-0.650287728831172
21,6326.633122738432,-0.3163972091025902
22,5292.803125128295,-0.18435606873262142
23,12495.502334841687,-0.5817421375659855
24,5639.549799213359,-0.27775065142747235
25,4806.925351401232,-0.13906752298086336
26,11980.533277545523,-0.48859723257197396
27,8831.629045612555,-0.5432026881602079
28,9089.340582787268,-0.5353075228418999
29,9244.14072693813,-0.4981760448174847
30,7924.547264271138,-0.40260906755493603
31,3870.4300414112217,-0.21187155946912595
32,4250.328963747673,-0.14627774819496403
33,1828.064765038208,0.4502410976820506
34,6490.639703779056,-0.3830935248778569
35,3858.965097178734,-0.21628334175421435
