Sensor,k,alpha
1,2866.250243446118,-0.41223644356162953
2,3574.7224862416965,-0.5063942750167105
3,1789.718376509826,0.055066146411630386
4,1214.177162892326,-0.036600052560252734
5,1505.5454540415064,-0.05510546017242454
6,2922.839585148269,-0.2156509726322353
7,1824.2912746513962,-0.20088016301675055
8,2361.442602017124,-0.3167368999833151
9,1205.820468985234,-0.1535160203140208
10,1857.7317921427843,-0.16985648057853048
11,2692.9436966396256,-0.4549004944068227
12,2479.7667429113044,-0.3393797193202544
13,3708.3022425865706,-0.5557452137100394
14,4920.211435521822,-0.4440187079942693
15,2680.637041526824,-0.494661875437065
16,2491.060422519606,-0.34262333496231623
17,3176.2167990332223,-0.43956299640608193
18,2610.4434787578193,-0.2645131793270165
19,4765.957184080999,-0.4301368169803767
20,6113.341862086852,-0.7829307118222497
21,3320.636564903428,-0.45057964447923554
22,7430.90676663911,-0.8141709087498922
23,10084.332876131266,-0.7419688528500828
24,5451.157132913797,-0.6651589421305054
25,4567.754697313907,-0.65777211800224
26,5396.7489074804935,-0.7062094449307373
27,15815.117073343767,-1.195378257685324
28,13935.04897351656,-1.0114362756501003
29,5874.66068350245,-0.671701001125315
30,2593.382966117133,-0.5036238585926592
31,4310.271491966164,-0.5694130700248278
32,3480.2412781853045,-0.5448924964413802
33,3386.2255295639256,-0.356879989294989
34,2478.618077705106,-0.44192937423079076
35,1509.9043696900972,-0.15742591929570895
