"// DN: 108, SN: 35"
Timestamp,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,Mag_x,Mag_y,Mag_z,Gyro_x,Gyro_y,Gyro_z,Acc_x,Acc_y,Acc_z
1744787371.471,0,0,0,0,0,0,0,0,0,0,-2.0,22.0,4.0,0.54931640625,0.7324218153953552,-0.0610351525247097,-0.9825439453125,-0.023193359375,-0.035400390625
1744787371.481,0,0,0,0,0,0,0,0,0,0,-2.0,22.0,4.0,0.6103515625,0.7324218153953552,-0.0610351525247097,-0.9813232421875,-0.02294921875,-0.0361328125
1744787371.491,0,0,0,0,0,0,0,0,0,0,-2.0,22.0,4.0,0.54931640625,0.7934569716453552,-0.0610351525247097,-0.9803466796875,-0.0234375,-0.035888671875
1744787371.501,0,0,0,0,0,0,0,0,0,0,-2.0,22.0,4.0,0.54931640625,0.7934569716453552,-0.1220703050494194,-0.9808349609375,-0.023193359375,-0.035888671875
1744787371.511,0,0,0,0,0,0,0,0,0,0,-2.0,22.0,4.0,0.54931640625,0.7934569716453552,-0.1220703050494194,-0.9814453125,-0.0228271484375,-0.0362548828125
1744787371.521,0,0,0,0,0,0,0,0,0,0,-3.0,21.0,7.0,0.54931640625,0.7324218153953552,-0.1220703050494194,-0.981689453125,-0.02392578125,-0.0361328125
1744787371.531,0,0,0,0,0,0,0,0,0,0,-3.0,21.0,7.0,0.54931640625,0.7324218153953552,-0.0610351525247097,-0.98193359375,-0.024658203125,-0.03564453125
1744787371.541,0,0,0,0,0,0,0,0,0,0,-3.0,21.0,7.0,0.54931640625,0.7324218153953552,-0.0610351525247097,-0.9818115234375,-0.02392578125,-0.035888671875
1744787371.551,0,0,0,0,0,0,0,0,0,0,-3.0,21.0,7.0,0.6103515625,0.6713866591453552,-0.0610351525247097,-0.9813232421875,-0.02294921875,-0.0362548828125
1744787371.561,0,0,0,0,0,0,0,0,0,0,-3.0,21.0,7.0,0.6103515625,0.6713866591453552,-0.0610351525247097,-0.9814453125,-0.0224609375,-0.0361328125
1744787371.571,0,0,0,0,0,0,0,0,0,0,-3.0,21.0,7.0,0.54931640625,0.6713866591453552,-0.0610351525247097,-0.9822998046875,-0.0233154296875,-0.03515625
1744787371.581,0,0,0,0,0,0,0,0,0,0,-3.0,21.0,7.0,0.6103515625,0.7324218153953552,-0.1220703050494194,-0.9822998046875,-0.0233154296875,-0.03515625
1744787371.591,0,0,0,0,0,0,0,0,0,0,-3.0,21.0,7.0,0.6103515625,0.7324218153953552,-0.1220703050494194,-0.983154296875,-0.0240478515625,-0.0355224609375
1744787371.601,0,0,0,0,0,0,0,0,0,0,-3.0,21.0,7.0,0.6103515625,0.7934569716453552,-0.1220703050494194,-0.9827880859375,-0.0247802734375,-0.0357666015625
1744787371.611,0,0,0,0,0,0,0,0,0,0,-5.0,21.0,5.0,0.6103515625,0.7934569716453552,-0.1220703050494194,-0.9825439453125,-0.0245361328125,-0.035888671875
1744787371.621,0,0,0,0,0,0,0,0,0,0,-5.0,21.0,5.0,0.54931640625,0.7324218153953552,-0.1220703050494194,-0.982421875,-0.02392578125,-0.0350341796875
1744787371.631,0,0,0,0,0,0,0,0,0,0,-5.0,21.0,5.0,0.54931640625,0.7324218153953552,-0.0610351525247097,-0.982177734375,-0.0235595703125,-0.033935546875
1744787371.641,0,0,0,0,0,0,0,0,0,0,-5.0,21.0,5.0,0.54931640625,0.7324218153953552,-0.0610351525247097,-0.9814453125,-0.0235595703125,-0.03369140625
1744787371.651,0,0,0,0,0,0,0,0,0,0,-5.0,21.0,5.0,0.6103515625,0.7324218153953552,-0.1220703050494194,-0.9810791015625,-0.023681640625,-0.0345458984375
1744787371.661,0,0,0,0,0,0,0,0,0,0,-5.0,21.0,5.0,0.6103515625,0.7324218153953552,-0.1220703050494194,-0.9813232421875,-0.0238037109375,-0.035888671875
1744787371.671,0,0,0,0,0,0,0,0,0,0,-5.0,21.0,5.0,0.6103515625,0.7934569716453552,-0.1220703050494194,-0.9814453125,-0.0247802734375,-0.03662109375
1744787371.681,0,0,0,0,0,0,0,0,0,0,-5.0,21.0,5.0,0.6103515625,0.7934569716453552,-0.1220703050494194,-0.980712890625,-0.0247802734375,-0.0367431640625
1744787371.691,0,0,0,0,0,0,0,0,0,0,-5.0,21.0,5.0,0.6103515625,0.7324218153953552,-0.1220703050494194,-0.9803466796875,-0.023681640625,-0.0361328125
1744787371.701,0,0,0,0,0,0,0,0,0,0,-5.0,21.0,5.0,0.54931640625,0.7324218153953552,-0.1220703050494194,-0.9810791015625,-0.02294921875,-0.035400390625
1744787371.711,0,0,0,0,0,0,0,0,0,0,-5.0,21.0,3.0,0.54931640625,0.7324218153953552,-0.1220703050494194,-0.9810791015625,-0.02294921875,-0.035400390625
1744787371.721,0,0,0,0,0,0,0,0,0,0,-5.0,21.0,3.0,0.54931640625,0.7324218153953552,-0.1220703050494194,-0.9810791015625,-0.0235595703125,-0.0355224609375
1744787371.731,0,0,0,0,0,0,0,0,0,0,-5.0,21.0,3.0,0.54931640625,0.7934569716453552,-0.1220703050494194,-0.9814453125,-0.0238037109375,-0.035888671875
1744787371.741,0,0,0,0,0,0,0,0,0,0,-5.0,21.0,3.0,0.54931640625,0.7934569716453552,-0.1220703050494194,-0.9814453125,-0.0238037109375,-0.0360107421875
1744787371.751,0,0,0,0,0,0,0,0,0,0,-5.0,21.0,3.0,0.54931640625,0.7934569716453552,-0.1220703050494194,-0.9808349609375,-0.0234375,-0.03564453125
1744787371.761,0,0,0,0,0,0,0,0,0,0,-5.0,21.0,3.0,0.6103515625,0.7324218153953552,-0.1220703050494194,-0.981201171875,-0.0234375,-0.03515625
1744787371.771,0,0,0,0,0,0,0,0,0,0,-5.0,21.0,3.0,0.6103515625,0.7324218153953552,-0.0610351525247097,-0.9822998046875,-0.0238037109375,-0.0350341796875
1744787371.781,0,0,0,0,0,0,0,0,0,0,-5.0,21.0,3.0,0.6103515625,0.7324218153953552,-0.0610351525247097,-0.9820556640625,-0.0240478515625,-0.035400390625
1744787371.791,0,0,0,0,0,0,0,0,0,0,-5.0,21.0,3.0,0.54931640625,0.7934569716453552,-0.1220703050494194,-0.9813232421875,-0.0244140625,-0.0355224609375
1744787371.801,0,0,0,0,0,0,0,0,0,0,-5.0,21.0,3.0,0.54931640625,0.8544921278953552,-0.1220703050494194,-0.9820556640625,-0.0242919921875,-0.03515625
1744787371.811,0,0,0,0,0,0,0,0,0,0,0.0,22.0,6.0,0.54931640625,0.7934569716453552,-0.1220703050494194,-0.9825439453125,-0.0235595703125,-0.0350341796875
1744787371.821,0,0,0,0,0,0,0,0,0,0,0.0,22.0,6.0,0.6103515625,0.6713866591453552,-0.1220703050494194,-0.982177734375,-0.02294921875,-0.0350341796875
1744787371.831,0,0,0,0,0,0,0,0,0,0,0.0,22.0,6.0,0.6103515625,0.6713866591453552,-0.1220703050494194,-0.9820556640625,-0.02294921875,-0.03515625
1744787371.841,0,0,0,0,0,0,0,0,0,0,0.0,22.0,6.0,0.6103515625,0.7324218153953552,-0.1220703050494194,-0.98193359375,-0.023681640625,-0.03564453125
1744787371.851,0,0,0,0,0,0,0,0,0,0,0.0,22.0,6.0,0.54931640625,0.7324218153953552,-0.1220703050494194,-0.9814453125,-0.02392578125,-0.0360107421875
1744787371.861,0,0,0,0,0,0,0,0,0,0,0.0,22.0,6.0,0.54931640625,0.7324218153953552,-0.0610351525247097,-0.9810791015625,-0.02392578125,-0.03564453125
1744787371.871,0,0,0,0,0,0,0,0,0,0,0.0,22.0,6.0,0.54931640625,0.6713866591453552,-0.0610351525247097,-0.98095703125,-0.0233154296875,-0.03515625
1744787371.881,0,0,0,0,0,0,0,0,0,0,0.0,22.0,6.0,0.54931640625,0.6713866591453552,-0.1220703050494194,-0.98095703125,-0.0233154296875,-0.03515625
1744787371.891,0,0,0,0,0,0,0,0,0,0,0.0,22.0,6.0,0.6103515625,0.7324218153953552,-0.1220703050494194,-0.981201171875,-0.022705078125,-0.0360107421875
1744787371.901,0,0,0,0,0,0,0,0,0,0,0.0,22.0,6.0,0.6103515625,0.7324218153953552,-0.0610351525247097,-0.9815673828125,-0.0230712890625,-0.0361328125
