Sensor,k,alpha
1,6593.338883036368,-0.4362866592573773
2,16656.05340099377,-0.7550939779308388
3,19320.677914366202,-0.581347799183235
4,6207.218580025887,-0.5538410958950145
5,11652.953534728531,-0.7303595695187318
6,5245.125528827013,-0.2655097122800767
7,13989.295102964292,-0.7200515297998299
8,5237.362763247126,-0.16841697712950382
9,5054.128382720963,-0.37848412520893937
10,23561.429426929328,-0.9821320912807718
11,4556.593728506199,-0.3406685799416689
12,3498.087012792353,-0.24068154692603053
13,4352.58945826857,-0.31430122779470837
14,12436.982990622007,-0.5308658660808583
15,3625.2621143012284,-0.6061874743138254
16,8150.0161272948335,-0.3966480357756584
17,16807.071412672452,-0.7691088357882523
18,29473.63308667425,-0.8528109989794704
19,57229.231045089866,-1.3364704262335305
20,8830.698997585298,-0.7116662886984674
21,7517.027785654222,-0.4408182287827579
22,15557.25234659573,-0.6135312295234587
23,47790.11821088106,-0.9160947355256466
24,28111.787544515777,-0.8823551421677046
25,13687.714103635692,-0.7016921957042803
26,9486.14577155087,-0.5743612546997013
27,23623.890845229504,-0.8322142037569059
28,4899.646112595805,-0.3641271810151264
29,10992.260104334167,-0.9300624617045551
30,4468.342393487779,-0.4940508751829662
31,6064.6395028716,-0.571958106893573
32,2614.3731593363777,-0.29752019936730784
33,6727.196411037503,-0.40771509224262475
34,2325.2174377011947,-0.19716911994465675
35,6880.648921689965,-0.3580854283386615
