0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0.7979175,0.696645391,0.627725758,1.058828966,1.15400383,0.647809362,0.926713491,0.701983657,1.15492474,0.763166504,0.804785426,0.929518249,0.644706188,0.686563546,0.811041616,0.66799996,0.771613333,0.600158378,0.580303793,0.875839444,0.818336304,0.962708584,0.601080287,0.608679435,0.588306918,0.92398993,0.531718994,0.755137658,0.754819437,1.010361652,0.910022591,0.624227136,0.752147808,0.591979186,0.912537176
3210.421522,4055.683586,4940.996933,2088.831676,1852.723164,4645.492884,2537.767633,4000.16763,1850.699032,3457.7035,3165.67804,2526.241133,4688.821725,4164.84737,3125.9918,4382.022964,3394.157408,5413.689544,5814.30468,2766.745064,3080.956251,2397.38654,5396.424699,5258.200663,5645.89555,2549.061552,7099.97789,3520.350778,3522.880594,2233.799631,2608.597107,4996.362653,3544.263929,5571.842757,2597.67432
0.808234711,0.696144118,0.6575645,1.032350461,1.177109938,0.653552796,0.951056174,0.703232835,1.07385175,0.780406538,0.772539728,0.909745407,0.627646293,0.685634016,0.775051315,0.661403196,0.748001724,0.597078302,0.554744105,0.866164492,0.806797736,0.959607903,0.592336875,0.613773919,0.602471648,0.918195854,0.534961304,0.768344268,0.766329947,1.01902648,0.848247486,0.616709417,0.754192466,0.577307674,0.898317722
3143.673681,4060.97589,4514.352603,2165.612553,1803.239024,4567.375878,2441.099957,3987.395387,2047.642471,3330.440273,3387.329921,2609.806752,4942.240838,4175.208711,3368.95707,4464.755956,3577.967503,5472.180765,6426.520629,2815.048643,3152.803433,2408.864982,5564.733501,5169.432818,5370.575782,2573.425718,6996.729789,3418.471779,3433.627941,2206.423727,2909.104545,5119.631737,3527.875576,5879.965604,2660.673455
0.819040674,0.710563731,0.641299027,1.033343577,1.171482427,0.656380112,0.972940897,0.717524088,1.133380417,0.796131027,0.783469612,0.898462761,0.650892857,0.70601969,0.808491815,0.673536028,0.76175425,0.604602923,0.569285803,0.887376064,0.814958936,0.932197986,0.586433333,0.610847702,0.607796134,0.944834776,0.534027842,0.768261203,0.746355188,0.993476,0.891470204,0.622362933,0.758381394,0.557627261,0.911835581
3076.67625,3914.054083,4737.335595,2162.631027,1815.045835,4529.878314,2360.271557,3846.873826,1899.241774,3222.268171,3308.802858,2660.01544,4603.224787,3959.193005,3142.045757,4314.922661,3468.560886,5331.457333,6063.296074,2711.270242,3101.644862,2515.325807,5684.440666,5220.05018,5273.902599,2465.098409,7026.145844,3419.094128,3591.530718,2289.148848,2692.114261,5026.373424,3494.769316,6351.086572,2600.712676
1kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.808397628,0.701117747,0.642196428,1.041507668,1.167532065,0.652580756,0.950236854,0.707580193,1.120718969,0.779901357,0.786931588,0.912575472,0.641081779,0.692739084,0.798194915,0.667646395,0.760456436,0.600613201,0.568111234,0.87646,0.813364325,0.951504824,0.593283498,0.611100352,0.5995249,0.929006853,0.53356938,0.763914376,0.755834857,1.007621377,0.88324676,0.621099829,0.754907223,0.575638041,0.907563493
3142.641929,4009.069268,4724.460556,2138.428517,1823.426688,4580.411461,2444.233658,3943.574595,1928.976641,3334.036069,3284.6836,2597.508676,4740.463005,4097.294092,3208.589706,4386.379346,3478.598756,5405.158163,6091.103372,2763.703363,3111.509777,2439.387383,5546.006107,5215.640806,5425.617047,2528.334964,7040.684046,3451.981353,3514.820828,2242.599281,2730.868879,5046.913184,3522.182344,5917.203742,2619.368074
-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.784520066,0.611764215,0.628118417,0.956481652,1.135127857,0.592145111,0.837024271,0.667940877,1.050884889,0.726187536,0.753069145,0.86894175,0.543386622,0.695888235,0.696931158,0.653092805,0.685632593,0.520678674,0.497308599,0.833316345,0.754120641,0.846923571,0.563894194,0.472863476,0.583572124,0.867558961,0.514389892,0.729079416,0.64278082,0.900399408,0.842675726,0.611443,0.669457051,0.49864166,0.80501544
3301.447098,5204.09015,4934.85959,2420.549902,1895.209822,5568.542652,2971.291208,4382.750338,2111.289625,3766.409811,3536.860419,2801.011057,6741.96282,4063.682751,4052.672713,4573.535348,4175.224622,7475.608168,8418.389692,2992.42488,3528.448698,2916.304465,6193.076458,9697.664361,5744.330364,2807.982787,7707.894801,3740.294874,4716.113835,2651.260316,2939.648309,5209.672626,4364.160665,8358.262585,3164.201105
0.783674091,0.608912333,0.614111678,0.951921118,1.056835147,0.60306528,0.831699208,0.662485591,0.995740517,0.719840073,0.7158829,0.793288533,0.541181613,0.65684049,0.685238208,0.629140682,0.660559701,0.46053619,0.501709217,0.808758877,0.732744947,0.812775349,0.522513739,0.452323577,0.562556323,0.861981322,0.518954623,0.756090519,0.664570452,0.854725952,0.910142297,0.61342,0.677484891,0.53465468,0.839618643
