Sensor,k,alpha
1,4165.16486874115,-0.19663800620267732
2,6104.826001199508,-0.2594118132535675
3,5940.9217936294735,-0.309192171165402
4,4880.961074491501,-0.3282927129355489
5,17752.929822543087,-0.8845105186652895
6,5975.814552584974,-0.18808734485616294
7,4355.688310313198,-0.19204496833744783
8,5297.169604996309,-0.1746285611393565
9,4734.439643403104,-0.16247379083642555
10,4762.2474619742525,-0.15296668620271606
11,5005.713438820818,-0.1780719134191165
12,5324.584555118515,-0.33963330730765406
13,9105.095590013447,-0.5605819665987731
14,16194.615373043405,-0.7238614611084874
15,5146.773858237517,-0.34332419417098253
16,6820.37945771024,-0.10031206340505722
17,7090.335365843915,-0.27812427338515516
18,8983.39080721253,-0.3947773696048998
19,42792.55864942868,-0.6124445178016413
20,4614.221003621612,-0.14872448043369677
21,5310.1985303071815,-0.33533020177219125
22,9107.405078844595,-0.41338035378955534
23,13672.945321440646,-0.45677058038269963
24,23076.235404693987,-0.8048386820235472
25,9710.322086725877,-0.2891974083989152
26,5910.365079589681,-0.15334328179439574
27,14217.10696127379,-0.6918225644084357
28,8970.981572876606,-0.5462614317693567
29,10556.97142070176,-0.5172597210084434
30,6267.871103271184,-0.4288239498955572
31,7615.9896699342435,-0.3356417151059742
32,10054.496677090341,-0.5705908662152166
33,13688.262860422765,-0.51947713254782
34,15964.589628303644,-0.5838461478651926
35,11840.796105808171,-0.5610213455365824
