"// DN: 108, SN: 35"
Timestamp,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,Mag_x,Mag_y,Mag_z,Gyro_x,Gyro_y,Gyro_z,Acc_x,Acc_y,Acc_z
1744782671.332,0,0,0,0.036011537213363115,0.8580034273940449,0.24870169619405533,0.3292355325913521,0,0.5370943969321637,0,-1.0,47.0,-14.0,-55.725093841552734,11.657713890075684,132.32421875,-1.440673828125,0.271728515625,0.275634765625
1744782671.342,0,0,0,0.043570735534418606,0,0.1494391627495757,0.18783496756920898,0,0.5370943969321637,0,-1.0,47.0,-14.0,-86.30370330810547,14.465331077575684,134.8876953125,-1.440673828125,0.271728515625,0.275634765625
1744782671.352,0,0,0,0.05104359197808121,0.15334076541515632,0.16316477201554147,0.23815510604402043,0,0.5575642343301956,0,-1.0,47.0,-14.0,-86.30370330810547,14.465331077575684,134.8876953125,-1.06494140625,1.2169189453125,0.4119873046875
1744782671.372,0,0,0,0.07730133305019471,0.3934963654729778,0.08420604525949725,0.24650844040653652,0,0.42609485772646044,0,-17.0,40.0,-5.0,-100.28075408935548,16.90673828125,151.79443359375,-0.7786865234375,1.9287109375,0.2880859375
1744782671.383,0,0,0,0.08350429032573307,1.199834600883637,0.19994914124825736,0.2861588927267687,0,0.7452358393140023,0.022040773510359053,-17.0,40.0,-5.0,-45.166011810302734,16.05224609375,131.53076171875,-0.8245849609375,1.350830078125,0.2469482421875
1744782671.393,0,0,0,0.07730133305019471,1.1051449263512496,0.2156439600532812,0.18424563798023377,0,0.6820307991560537,0.018368266509237608,-17.0,40.0,-5.0,5.249022960662842,5.737304210662842,106.44530487060548,-0.85693359375,0.59228515625,0.3056640625
1744782671.403,0,0,0,0.08673313792999998,0.6338183286727339,0.19231131212294278,0.19884199928601312,0,0.6506621251221556,0,-17.0,40.0,-5.0,30.944822311401367,3.112792730331421,101.19628143310548,-0.755615234375,0.3212890625,0.3350830078125
1744782671.412,0,0,0,0.06861411425348814,0.13072747697912337,0.17024001816455747,0.1951330366285718,0,0.6611004688504485,0,-17.0,40.0,-5.0,38.57421875,6.591796398162842,109.49706268310548,-0.5838623046875,0.5281982421875,0.3077392578125
1744782671.422,0,0,0,0.058128911199222165,0.28230851222855075,0.16316477201554147,0.1951330366285718,0,0.5987478114909657,0,-17.0,40.0,-5.0,45.776363372802734,6.164550304412842,111.02294158935548,-0.43603515625,0.735107421875,0.2325439453125
1744782671.432,0,0,0,0.0672361682248786,0.1776328232091113,0.16316477201554147,0.20638033440887563,0,0.5678300739411427,0,-17.0,40.0,-5.0,59.387203216552734,1.3427733182907104,101.44042205810548,-0.3284912109375,0.7008056640625,0.1318359375
1744782671.442,0,0,0,0.05104359197808121,0,0.16316477201554147,0.23815510604402043,0,0.5575642343301956,0,-17.0,40.0,-5.0,72.509765625,-3.967284917831421,89.66063690185547,-0.2728271484375,0.534423828125,0.045166015625
