Method: 500-1kg_1002
Sensor,1.0N,1.5N,2.0N,2.5N,3.0N,3.5N,4.0N,4.5N,5.0N,5.5N,6.0N,6.5N,7.0N,7.5N,8.0N,8.5N,9.0N,9.5N,10.0N,Avg Err
P11,90.88217311189736,84.33190742618785,75.9742559219064,53.73211743480189,30.54852659264756,15.041147625878128,4.85110187981561,1.3442551258856237,4.839378132177993,7.689666535677257,9.956475877235407,11.098642369617545,11.239620685522109,11.024767304998859,10.391900810325174,9.6585134417142,8.932471248575695,8.227198958478153,7.5363005765158055,24.06844321367677
P12,29.45759921276868,10.552409122617327,3.6064435882336756,0.7181068103108489,1.7496094296856017,3.8430506076950097,5.005752070220456,5.8716871082011455,6.421749797947282,6.977946728936451,7.483630135087329,7.671409102840293,8.005940984381686,8.092116788643082,7.983033709858258,7.833439289254492,7.618971439653884,7.31717860200409,6.90859579106405,7.532561595758086
P13,73.50733102529365,55.18923915595847,29.70637587046182,14.728089324426206,6.308894549433054,2.2648581790671205,0.5421716673800218,2.5563619897775136,3.8417152017634217,4.510564313266709,5.222420833979411,5.729581896655528,6.063640028150185,6.279273031413456,6.282649115488438,6.148362566070624,6.061173734990864,6.133376620809332,6.249894497603874,13.017156505367879
P14,73.73585458714209,52.1643640066554,26.597684407660413,11.78601680033641,5.6394441357915595,1.563188084546131,1.198297280104626,3.2866494265788466,4.725931630113095,5.594645077793466,6.1249734584844076,6.58221255898089,6.685327285921017,6.380137112394664,5.990753299241799,5.682035635863906,5.325308498495579,4.839333511482256,4.403270838206963,12.54239092819966
P15,81.9444373435208,78.24298298606524,54.22104909593313,29.03412802148297,13.165453924759248,2.9826370733400283,3.2924442735260167,6.4900155298704965,7.562279444726371,7.117046877810998,6.753768089631532,6.810360576336354,6.631134282367489,6.3139433089174855,6.054802947423303,5.453108578545613,4.769704380714754,3.9844335632615873,2.8803305427164982,17.56337162320789
P16,3.076492769693927,0.3739847073060378,1.7291553477710249,0.7526263381549724,3.886605980995903,5.844647984815627,6.152693743447278,6.129018189485636,5.232562705361895,4.624412417433146,3.593094468475256,2.550690799708727,2.5751362854442927,2.8169183392953503,2.6312188685040616,2.7463954020233996,2.5204274685468984,1.926742843453897,1.6074480688700892,3.198435406778285
P17,94.93718568815429,89.99324719689966,76.48109440044287,55.874172422970965,34.382115654987835,21.298101754998587,12.219127550739225,6.7251444042198845,3.916773272338261,1.8719865272229979,1.4773561052040227,2.7842053743001167,3.1708219615433793,3.9305184594878257,4.521405850075899,4.70572493560082,4.494677642414167,3.951765761653241,3.429015599341417,22.640233713820813
P18,81.52915100119705,75.28739379884321,40.967455455293525,17.074092123065494,7.657010908144819,2.26795777379572,0.11607352450558618,2.06012732501463,3.588032936511632,4.875670006661059,6.092299333131876,5.600538195608508,4.393342560793674,4.139883684521132,4.018532128593011,3.3700220846115063,2.7337557279295734,0.9855753343406891,1.2704804812231223,14.106704967567675
P19,72.22884616174728,53.50292227674894,53.15278506692901,40.39477942896503,12.253614745381608,2.7234035697840517,1.919650621471722,0.42539137913312475,2.4797192308438123,1.9356001058314416,2.032393092901336,1.1335353457162893,0.19193769800821966,2.3435963365645898,4.8743058881206425,5.615388500872165,4.102144901702358,2.0829276845373847,0.14831789715990712,13.870592628022047
P20,45.172123497990206,42.93873638518517,38.53203905091983,26.230775789697145,19.195426023815568,15.823433591112819,10.383649218964422,4.997246538645811,2.6032616585202164,1.9741317143630612,1.3287565751293637,0.5651046389272412,0.6321584620713617,0.27166618005618687,0.8672718477490445,1.8024174169669316,1.874524543367001,0.8740129328467646,0.023942255355898265,11.373193595878107
