Method: 200g-500g
Sensor,1.0N,1.5N,2.0N,2.5N,3.0N,3.5N,4.0N,4.5N,5.0N,5.5N,6.0N,6.5N,7.0N,7.5N,8.0N,8.5N,9.0N,Avg Err
Sensor,1.0N,1.5N,2.0N,2.5N,3.0N,3.5N,4.0N,4.5N,5.0N,5.5N,6.0N,6.5N,7.0N,7.5N,8.0N,8.5N,9.0N,Avg Err
P1,64.07720946371293,71.99083924499953,75.46614667325937,74.5451964072253,71.87632222904286,69.4462656290013,66.16908277849642,63.789402580966055,61.49081673367143,60.11532778179428,58.9908510583227,56.72948737162321,54.60978554659845,52.48768051667142,50.36929635782025,48.103682186803546,45.74335602937765,61.52945579937568
P2,17.322865820047515,7.399172392530775,1.985250733784976,12.0487836435263,22.455339702519314,27.484233532086048,28.819556576499583,28.514591103246126,27.21856746827438,26.066209989682815,24.74996923356896,23.24698732266094,21.78777463087681,20.236257535041453,18.620960727230777,16.970329776163844,15.252542768476628,20.010552526836307
P3,11.47201505919483,12.349387896833388,24.114529667459806,29.166479844295374,32.75607616163994,34.24317676172157,35.2075379717867,34.821284056324586,34.0513517493834,32.973573074886495,32.23363451690105,31.750915048330754,30.970815507273787,29.792037288020026,28.376048783682823,26.99976118942685,25.357229880976178,28.625638497537505
P4,6.748863763427077,0.5403439902891861,4.989196111457556,8.306149152604911,11.073916617647983,13.52842440699399,15.882137875852973,18.56392014490203,19.556751277317982,19.734221428979787,19.781601049922415,19.981507637825203,19.93621200543105,19.25168225744927,18.170619855779037,17.320225864106455,16.39190224333831,14.691627981372072
P5,40.86354185838586,45.37298112657115,45.26791521299213,44.07485987016017,42.257189402752104,41.09924168243873,39.21494980072366,37.1544894352086,35.62789564314292,34.24482645863963,32.695482051336334,30.889038694013653,29.178968836221923,27.34748767653326,25.482628406379995,23.681941163470025,21.951067411157076,35.0826179253016
P6,15.691580239312776,53.722957005512605,60.40467052461821,68.41254883660804,67.17102160303803,66.61836961984943,62.24302048001714,56.74066482934821,51.251778709781085,46.4121447190752,41.76413148399244,37.30877874116672,33.160051007279314,29.368967114457632,25.514162666562466,21.542504563342618,17.916251137367137,44.426094310666414
P7,0.02185872974381994,5.7633567839033395,6.72141102615479,7.785318778045235,10.11347246084187,12.640798446621346,12.159858142773158,11.925305480029632,12.146900580903683,11.688657947248759,10.858008880979256,10.48515449287375,10.00369408931975,9.75152804754907,9.489408212374821,8.840381754146984,8.136345179583355,9.325379943123094
P8,53.39193661121989,13.37345551533269,23.89085197104158,40.23419930729521,43.61396081125338,38.03000768804693,32.53321702176509,28.089398578897292,25.79005728765519,25.00215352599643,23.641801132785712,21.733416453309616,19.626506441621824,17.38275477085467,14.6918126089051,11.689391603305468,8.43338325952729,25.9499002699302
P9,7.943427603980121,6.013165554259591,12.765808476115776,16.82307251961591,18.256764627670236,17.378856012683464,17.618543536162715,17.87364585316122,17.305835198323553,16.431553678624418,15.537770344252763,14.689478632815293,13.738004695034194,12.676664762681211,11.50459276612409,10.094220299306887,8.448877838611345,13.829428376436635
