Method: 500-1kg_1002
Sensor,1.0N,1.5N,2.0N,2.5N,3.0N,3.5N,4.0N,4.5N,5.0N,5.5N,6.0N,6.5N,7.0N,7.5N,8.0N,8.5N,9.0N,9.5N,10.0N,Avg Err
P11,59.19124254627038,55.966942627937215,44.38179420748183,24.994009259221627,11.791215616428007,5.293636400198411,1.9390422892834231,0.6428083702361962,0.5108039757220547,1.5887278053893887,2.490509403771645,3.8034044059936853,5.0239649636045955,5.141606561226398,4.994962540993086,4.7829427446852275,4.509544764619086,4.570130015834155,4.856521081644302,12.97230576739688
P12,63.933632423997146,47.794899760218726,29.26144675027101,15.618841114064198,6.705265942551361,2.734276973022071,0.2668229228274529,2.0017100359602513,3.3097009257081527,3.4726532930068412,3.7256669567150094,4.062726503900895,4.509011163645055,4.504598530948877,4.445269251148563,4.288774064218676,4.045915364037369,3.670703683635285,3.316178375052555,11.140426001838394
P13,27.28341560461909,22.25195617191804,12.0729215325677,5.528376181475606,1.8051113002294237,0.5861257308135615,1.2905321650005441,0.5799131339148196,0.44410725712920796,0.23437025766717567,0.3078937098602588,1.0226896654669702,0.7588506660932746,0.7415530086631541,0.2437199335952795,0.012837251082837118,0.7849308177153811,1.853842406520221,2.7053151412109493,4.237287470291762
P14,74.85144274868281,67.08450351183131,57.672730680726886,49.70137450881608,34.43571961551872,24.45095184517774,18.785018260984394,15.133153996648804,11.637748147349802,8.757231106582102,3.299789298302702,0.4245293200559043,0.9662480608708878,1.6458408013899322,3.748330098511754,5.206974469882104,5.860455787858142,6.382215667803311,6.926092671644685,20.89317634729674
P15,57.339022413090056,42.05833224172726,30.489036361537593,21.6943858544063,14.981554874442638,11.215793101159868,7.898371099854748,5.3747136025700355,3.643984009627132,2.0731052718897898,0.9117961775311028,0.19838344167475086,1.1240537032258016,1.9150927086531142,2.4534674499287155,2.775179707971982,2.984383877244502,3.142554080778131,3.2356156225122423,11.342569768411881
P16,81.7821902951221,69.70200387734852,56.06267467367721,43.87011484010033,33.25891855673404,24.79913342872064,16.85249708650427,13.797801854025476,10.43378505321036,7.726705399711844,6.132952780043019,4.847595949353423,3.448951524521823,1.9915156580534181,0.6455815856633413,0.27684683857010306,0.9741709013173365,1.5965843175692966,2.382718736479129,20.030670702985564
P17,98.74863983287246,76.71407224348599,60.93301443081647,43.54762860242253,35.217561814684714,26.588073472226963,19.473620498751362,13.025039952514287,7.4410508715527985,0.7726811677582671,2.149792119893374,4.10687542439019,5.518230058826018,6.591544730409406,7.416113083064775,8.193118312848846,8.433571439619424,8.42791875446746,8.50334874781754,23.252731345180152
P18,93.97358656021377,77.19173195872294,59.53195060972534,49.616372253231894,38.414443289144806,28.37618213820591,22.206472135377496,16.441686286830336,11.73404188835306,7.037570644990425,4.468550043933886,1.9198258106028994,0.41948870899042,2.205906674083103,3.415604923121739,4.357832205638693,5.069718467570346,5.666758758407107,5.982189778300056,23.054205954497064
P19,87.59856349217671,91.60463027096137,87.51401411838769,81.67603649715606,76.05798615502177,67.8337892239781,52.22049537350775,42.63055631195245,38.5634846083317,38.55362407201263,34.256978662717934,30.545224850373938,29.418189290534507,27.142816306028134,22.520284699501833,16.352528229932382,16.606667492550837,16.693368319470437,17.045563653983336,46.04393692781998
P20,63.01281237002704,52.02283561568465,44.249894556570474,34.28864760232998,27.04777529846294,19.249979506814935,13.490381192618878,8.985087570414652,5.167577318979521,2.356876971687414,0.24433608277547667,2.3293681604066117,4.162014592242145,5.961132317191783,6.924024728148637,7.80664941966348,8.692398373067975,9.327256270478204,9.700367227969554,17.10628500923865
