k,alpha
0.025490970283813304,2.3331460200539333
0.003903911133271921,-2.744650128907024
0.011809162124148209,5.136489745800644
0.08582353403232641,12.694071807355577
0.03150033909445477,2.010229803065999
0.024757314779113814,1.9133444841991614
0.037645258162855987,2.864824782410043
78.17685580426759,37.67741103945587
1.6283306955325016e-11,-83.31166789027442
0.04443879382974317,5.065699544214453
0.024501487809846442,3.3589424133232986
0.0792671324566081,3.9325200997127867
0.05184947536649777,2.9186930641878313
0.03366437108383255,3.5387401641141074
0.018873199563664587,1.3293272668777891
0.035728560150079254,4.961183377359364
0.029063897365062426,4.724240621078749
0.01270863812008409,1.7861122358501276
0.06788990618097265,4.268995381503652
0.026835316532715717,1.357563297908211
0.03147672281227039,1.8068278427708988
0.015536653890464738,1.9840365043364698
0.0002598580886064,-14.74727185439438
0.1647174408163425,13.788658828208025
0.03464894552775441,1.7655323000681296
