Method: 100g-500g
Sensor,1.0N,1.5N,2.0N,2.5N,3.0N,3.5N,4.0N,4.5N,5.0N,5.5N,6.0N,6.5N,7.0N,7.5N,8.0N,8.5N,9.0N,9.5N,10.0N,Avg Err
P1,45.842476514034956,42.00466418560655,38.49810744063175,34.1854047466986,29.82244078346232,26.352531756707098,24.120908084491496,22.222796038679576,20.62215025323118,19.121307285293287,17.170813428813386,15.172205489481144,13.389175413879233,11.862329291192482,10.366342768050027,8.982423163362686,7.515231393250864,6.127718157108178,4.892013674742246,20.9616336773009
P2,6.654391711253218,15.124296074978476,15.05803219317842,15.993817582987834,16.695506132513877,15.421868938974379,13.878451774600851,11.300330582143475,9.046732040577863,7.190166187221994,5.016866549649349,3.0507448719305827,1.381897224457175,0.10949868263445336,1.367113190195188,2.7254493564582396,3.8209807458441043,4.722879184628419,,
P3,6.726962095555804,13.85494806343326,18.85118532451974,23.457774489497687,26.304608607362155,28.03859938634187,29.796753360037986,31.199096477780873,32.29714529838184,33.31395699048677,34.15457746247445,35.371557159076616,36.753600726251804,37.907455427438705,38.774487344937135,39.643682507188494,40.220009647735566,40.664013163325585,41.210256596933284,30.975824743618922
P4,7.825785210795969,10.325391748626558,11.508205316608723,11.26060275291942,11.533032305601935,11.258042698953663,10.801278530842694,10.279126810746854,9.531690828723264,8.736204801441922,7.900975970414758,7.225632627943412,7.004769170103376,6.917510337058388,6.537411886962608,5.964273962103066,5.333238420781801,4.702834054903133,4.1500011569662805,8.357684662763043
P5,30.682287627100447,32.5765243902045,33.980949563986904,37.43582202595096,38.12315494493385,39.66732661515864,40.39306262684912,40.42149689841999,40.1048021835806,39.80240573999679,39.41878386974328,39.15338628533113,38.94788887146063,37.84998402146503,36.644275901717585,35.85601715864019,35.19901910790166,34.7000076316175,34.4009672891643,37.12411382911701
P6,20.015170334020404,17.908284707337916,14.602260867603055,12.1308881983568,9.87641034835585,7.84412097882106,6.114713082145229,4.311197484661391,2.6040530938153985,0.9701402223631244,0.5911208664406127,2.0095789400855804,3.2947902581833843,4.376262241507127,5.273190114892283,6.11177439699735,6.967224557259817,7.838323536243272,8.59138965131017,7.44373125686315
P7,25.243094617645852,21.493292885984896,17.23970958946603,12.243065245819466,10.59926075693977,6.589396747587649,4.525527744443147,2.5580320565225168,1.0768456169008969,0.3917988552227795,1.606519479322357,2.580586308416196,3.449740249495456,4.785738195229709,6.617229555398729,8.090346592626611,9.452844737095198,10.727485416916254,11.833652886819037,8.479166712518555
P8,15.225422311799896,13.829296363545536,12.690898549601657,11.560489200622758,10.30710462898248,9.191445927580364,7.792949721896434,7.203089841604984,5.99984225632359,4.9865329411059625,3.6712701952446376,2.28375897535077,1.354451352683726,0.754454853061011,0.2400938513676083,0.3487035563454774,1.0186606359342956,1.7672860309937888,2.3841133255210845,5.926834974714002
P9,21.030400450144036,21.162008865026262,20.273636770299497,18.515869701089773,16.9943785898583,15.476107060056169,14.434223480927637,13.578354488531401,12.516066271493212,11.107611572289478,9.93011801099065,9.108376768290958,8.281326319157097,7.457672956556352,6.495136865854735,5.434289848263719,4.475208475217251,3.539950098726915,2.682249692087683,11.710157172887426
P10,46.146568782052945,39.88948152426822,31.303606408473826,26.700169547999433,20.998153483534015,16.247388608721735,12.43534544856337,9.519267771684344,6.608163746801633,3.4221450896254835,0.19966139539121877,2.8939477010950343,5.84986077221322,8.42602996808979,10.658684232321832,12.693323712266043,14.723779248821472,16.53255729810785,18.141422392856676,15.967871428046744
P11,6.974967488616798,7.962547695344817,8.217090076226429,8.395047866776483,9.637657057351419,10.94859541981583,11.203296920272651,11.723144172404682,11.812724962434684,11.653033978566315,11.425646048251838,11.057579780602756,10.916408273900105,10.531472677405423,10.033242866622327,9.581256941768103,9.113641290251833,8.539359869285096,8.059059987909416,9.883461756516159
P12,26.966432023850484,26.923862645023398,24.22368150153063,20.421517774443306,16.13841576894338,14.471627707567952,12.299368714995596,10.861036985689385,10.038473759799173,7.635681322949758,5.3360703126528755,3.7126123318171835,2.2948706906992746,0.9221182023307327,0.4025197113641829,1.6437454297738732,2.811462298578265,3.90322380014409,4.8496480591648155,10.308229949543074
P13,34.48187594378394,32.84042645803767,30.26118450275258,28.040096413862408,25.055112315534092,22.998259653451196,20.940795143281182,19.02472059446784,16.91887164433876,14.75950244816024,12.674902104360642,10.608086532506979,8.71335772358089,7.083271632348838,5.653119809079072,4.386758020242195,3.241247966378394,2.1445490186970138,1.1746299727856586,15.842145678823664
P14,40.731474681524,44.441660548752914,43.004279523258994,41.822122489573154,40.95519272834582,38.3552636295165,35.069393726696056,31.998052871217737,28.807579203365332,26.389046748275067,24.299243442182995,22.686464335526278,20.90152012257587,19.298997319884442,17.627756631432277,15.702017440412371,13.884880666957141,12.204753861634854,,
P15,29.91155364983523,25.29314563890648,21.667150417741727,19.401785586113988,17.091926137125327,15.05244289157399,14.069530304210067,13.28357383299031,12.141921146995552,10.581039165817431,8.969203879229196,7.323097706438742,5.930513640876501,4.881897162032485,3.998371825223829,3.0370228849578496,2.1450584475491206,1.3107606141576695,0.6045768341706631,11.404977461365588
P16,6.832767984075509,7.371086450462629,8.496022882730884,8.708062809007165,8.289504798315452,7.414123952599972,6.962874642503597,6.481216793309359,6.039827844267492,5.498049782965111,4.8770676546067415,4.228843530663736,3.5297366988494545,2.954118654908913,2.479078976711711,1.933289280861878,1.3832742094988366,0.7924299216024614,0.2590018849544781,4.975283092257651
P17,35.48092839529902,31.55875744558916,30.897217760440885,27.383865418624925,24.998635883123313,22.195241756395873,19.300150303188286,16.32965956991489,15.653541107394425,14.07965421220875,12.772820893761688,11.722866896866607,10.943549092252962,10.069971425629607,9.027321888452304,7.764355103857434,6.124051969711285,4.483138544204168,3.0184722174224015,16.516010520228313
P18,25.483157654546034,23.4342142102827,20.09629942028255,18.56148272730122,17.025660785588922,15.032586062904134,12.63455253734814,10.185886476107392,8.320957424479518,6.54021749636078,4.752742271433095,3.4142314430204372,2.056166893423658,0.710952610876948,0.5141854591981521,1.7762308120965387,2.9203476552040173,3.9442190771864403,4.82815412941038,9.591170797213215
P19,38.26086956669922,32.24216402494042,29.567216505121408,24.992901306221512,20.772664123130188,17.098174473475158,13.931331487618225,11.050849968330285,8.752043604045868,6.542458947940816,4.449229391021147,2.849368835044486,1.508996403773758,0.1384260230151692,1.2985139159761279,2.8331772452129993,4.310676897542517,5.608673308142928,6.752051435610408,12.261041445413824
P20,1.752526695453687,2.13464911252329,3.7587417799216647,6.112693871364074,7.206213563520547,6.7909354750832485,5.714784892655049,4.707390236305967,3.7823396180592663,3.4240467242463675,3.129180495525785,2.590769832621459,1.815973986370977,0.7290259392332381,0.21972773231306483,1.1121827603514471,1.8908979384180247,2.723953128090736,3.5280823442718194,3.322321901385774
P21,8.23740448293588,3.424574126096556,0.8173319205534144,0.7709655063912287,0.2886132167661644,0.045610529574978596,0.5527725139087206,0.7270389527337244,1.0620852160601497,1.3311688756927997,1.9913126045734404,2.7719462843372833,3.437419180070862,4.093989360864487,4.77293165981453,5.422236765912011,6.014320162059671,6.6299789109450975,7.17258120833488,3.134962183032941
P22,2.3093691143629864,9.055095051477794,10.830537909366235,10.99037789439846,10.912136721804908,10.122103767407628,9.730596390020143,8.15307206256174,6.353888787112427,4.4641775034096405,2.6044251600648662,0.8845756981188369,0.6026854114844585,2.0254926652348977,3.5475625401438013,4.990961762234581,6.300413740255698,7.510820820928036,8.620387421199826,6.31624633797826
P23,19.240115089669146,20.89940853288078,21.81076155231009,20.727403835291735,19.522130460405297,18.878954297837733,18.676206346285955,18.537219549722575,17.80216594891574,16.693749769490026,15.839365355464487,15.13986804920441,14.571127762353093,14.004669999758015,13.342066454884975,12.593331060812039,11.82377563822913,11.131687202614385,10.579543301397598,16.411239484606696
P24,23.79620210771098,26.160872764002782,25.089552504762334,24.528266128646553,25.068034320666012,24.972494415184677,24.914770248687187,24.438360690523925,23.17760722709497,21.815126056914114,20.856650699516443,19.89410259799479,18.902947964810686,17.942351543422845,17.03733349718291,16.232932319638998,15.459015371631928,14.803067635852617,14.297921504360945,21.020400505189777
P25,17.380813650207095,19.395471978310184,16.529301203290828,13.764672635307411,11.694991092412893,10.653761362766204,9.688234630967042,7.463274298065992,5.425242048714823,4.028631420189981,2.6708566518983408,1.156708381184718,0.4184660013555366,1.87654610992665,3.144501994493945,4.424095625963287,5.660283297835431,6.925380976160707,8.065176012030046,7.914021545846374

Method: 200g-500g
Sensor,1.0N,1.5N,2.0N,2.5N,3.0N,3.5N,4.0N,4.5N,5.0N,5.5N,6.0N,6.5N,7.0N,7.5N,8.0N,8.5N,9.0N,9.5N,10.0N,Avg Err
P1,11.880672641480059,16.511201606510852,19.18522139174651,19.82584087131633,19.48747188028814,19.304165499271072,19.820476744158984,20.314743849417958,20.831398268370016,21.228476481521536,20.97609941007769,20.501096513706695,20.102151177827775,19.847954782966738,19.517164392594918,19.210674052607278,18.725541852779738,18.248572256466222,17.8698384487995,19.125724322205684
P2,1.539889018842135,10.977970917843274,11.89907690477028,13.585465043929542,14.914688668062366,14.200237032688365,13.136499244805057,10.97616635484415,9.08177438074829,7.539153471610643,5.6408991849006895,3.9184164067038987,2.4686318922547485,1.3973666881563889,0.1001082343696759,1.0943255025050183,2.036288969527037,2.7935330346740086,,
P3,25.57051135584723,28.546268837720163,30.318661327840847,32.33270247766374,32.89735606504524,32.6265682687095,32.63449857205954,32.471373292275295,32.15657916653105,31.88788193756948,31.550413314280515,31.667727307465412,32.01338447947385,32.196547010584396,32.157519812990394,32.16798426441864,31.94433986444561,31.636427036801088,31.460153570094143,31.486152524306117
P4,15.695901212480873,16.282016047957956,16.04844377503422,14.65796236557958,14.019133233613372,12.968167434016792,11.844444660492112,10.741212633037641,9.481251653348433,8.230694272828204,6.9884139298896475,5.944505128325938,5.381640180665063,4.976123156679084,4.305915415629043,3.4680482643602994,2.593192297904857,1.7365505781833805,0.9709382857965342,8.754450238201212
P5,51.35339230309731,47.934712023643726,45.603668599019734,46.32857160536037,44.61847781057003,44.1796009186398,43.16232711201973,41.65076516897538,39.97034891127156,38.45104042362218,36.972196903334044,35.71017435994568,34.59061773745442,32.683761273594925,30.74599058084827,29.270015968019575,27.97133552394183,26.86747945879714,25.99092178246802,38.108178866559136
P6,5.4202841706098726,7.031537883015462,6.48588153039563,6.09199894838658,5.507350008196342,4.858467496957001,4.300227931950826,3.511497391298992,2.691073799586409,1.8398403776332157,0.9750874282334027,0.18243352197925689,0.5355900037808472,1.0961263672624373,1.509719683098158,1.9005366165325543,2.34276005977378,2.8320726928196795,3.2243508195278516,3.280886143738858
P7,53.58825584525405,41.47788132018564,31.604184091567536,22.458648730557123,17.890609502258478,11.403559101398624,7.400938526084729,3.8074907821559334,0.942107809606751,1.7269628574925262,3.997165309213398,5.913383503853248,7.630359678147017,9.706867601988497,12.169934573251732,14.221549328327903,16.107223154720817,17.856820552042787,19.403852848321716,15.75304184823308
P8,2.4374705127464433,0.5341445997716789,2.553390925362628,3.9097869177016276,4.71031377651917,5.327398013630519,5.4333435973289435,6.1495289590621525,6.115225952287774,6.1484297260241565,5.772028977575322,5.229276877721608,5.0804697596859105,5.211093492114961,5.379352953493175,5.423375024546422,5.339325822349305,5.132475888957724,5.031466075400707,4.785152518541064
P9,7.607769468375956,10.98414311808468,12.52518975665343,12.71459017265101,12.768970281673584,12.574060789737345,12.65886968310865,12.788676648351391,12.602574569959591,11.97486975929645,11.499126679367105,11.31876888107741,11.0784769637961,10.794071095270445,10.323845263973384,9.712739038522033,9.172517944941916,8.626112989811961,8.13326272232159,11.045191359314423
P10,28.931759909452424,27.39670829958366,22.304482853110283,20.098788945340708,16.34462458643544,13.135267678623935,10.576544241590236,8.707615669439287,6.695555447559333,4.283050019581734,1.7251332543062903,0.7951437970255738,3.254627012390129,5.391584875989136,7.230133321651591,8.911053409487984,10.629987727477557,12.154118499217512,13.500321500370262,11.687710581507003
P11,98.22824456841978,71.09112738717326,53.48071612449371,41.05334047844905,32.98072704822404,26.801781462926165,20.711937805594136,15.889235511362173,11.362701884639154,7.189292336040746,3.44004743473782,0.03639350080110822,2.9771701376761857,5.8532189605516445,8.582137118661391,11.062120316651926,13.372936867333106,15.607524868992014,17.627109440496902,24.07093490806444
P12,46.110919245590324,40.951738261781216,34.51100661613169,27.86322031454421,21.356410511618538,18.006126161986913,14.416961658234642,11.789022687085065,9.937477700495215,6.64041737554778,3.5675270341092538,1.2569429753756356,0.7752022389104343,2.698179550664852,4.518085928312362,6.208776553972378,7.786407961626631,9.254249228424086,10.551867302798584,14.642133647747887
P13,18.477695448513376,20.85279859929305,21.238824957389582,21.29751803028669,20.193714652710923,19.669696670315567,18.919581265082044,18.13296078928564,17.015769690825596,15.725328993342654,14.409306334592966,13.02528721024654,11.74342779756905,10.671302421473818,9.753084285591493,8.959761426340876,8.253269025017996,7.5631793054315875,6.975730070315843,14.888328261769749
P14,68.9222704155574,65.53148125317121,58.58811405931681,53.320279256202696,49.24340097936373,43.93460185401376,38.38992674636784,33.43631494747884,28.65390355587641,24.87181726898635,21.592971398831438,18.923372042243518,16.205642093940767,13.765557804177407,11.348218257396518,8.769701171218049,6.364943726953203,4.150758487079222,,
P15,50.07560457310463,39.54038790285897,32.02981646595149,26.988608706948767,22.49995278686784,18.703582850826272,16.279912023016223,14.257890316370652,12.036180259663695,9.530702244640562,7.090046550642687,4.713276018729847,2.6657110565840405,1.0185485954993516,0.41408007479255615,1.8729163077728859,3.222816487316871,4.4804294702367695,5.584260603413462,14.368669647117766
P16,23.512349315627954,19.651022477727384,17.789652477131167,15.65446173140002,13.319031629861596,10.841850300048119,9.047021605296955,7.4020713541128345,5.939292759521997,4.4905248888401035,3.058648573731524,1.6805403574649436,0.32170531433952015,0.8586232560987529,1.892236407956089,2.950039005390737,3.972994736472199,4.999796032485174,5.941325922202356,8.069641481353127
P17,1.6728131441529541,6.18439614439753,11.250515130111461,12.689803715615524,14.259192673739202,14.83105564995923,14.830576371554807,14.364331932244966,15.870817951782065,16.266528047516246,16.74418575510584,17.331290435485876,18.073396461961714,18.603704592549576,18.84935718995046,18.75818484303554,18.15684954840958,17.464579925035007,16.889414147389314,14.899525982105098
P18,5.992143819825055,8.82131170162396,9.143519786001475,10.317104984169706,11.004246720920566,10.903953198850745,10.133656940763736,9.087408373506111,8.440576181913316,7.736479538820345,6.906468897851702,6.436055044953134,5.863314795333259,5.231604573995333,4.662155374662997,3.997928011276215,3.4086714934301594,2.9037450071129496,2.5103960049087934,7.02635476052208
