Method: FUJI Film
Sensor,1.0N,2.0N,3.0N,4.0N,5.0N,6.0N,7.0N,8.0N,9.0N,10.0N,Std Dev
P1,18.194837456275597,24.124998052211076,24.510839139902657,23.78657738361364,22.793768640323062,22.456575982441844,22.410040241300482,23.45061338187425,25.44685882099438,28.34941856481582,2.443293863420123
P2,7.754411739480631,5.318378074312286,11.358970546697117,11.525214867274137,8.976267114925918,7.093198020595599,7.463326200384524,8.977712354624876,11.54567131476607,15.168843999511312,2.736701933698272
P3,50.79464833536356,39.78605295070568,33.12928036936778,27.476853490552408,22.545765474598856,18.599830345851743,16.089788856318204,14.06205066254763,13.115313558796728,13.071514920266177,12.18845853457982
P4,6.896416444554971,13.699358106825878,15.4648351586723,14.597652063017069,13.775685612249196,13.81613829204076,13.911676143600227,13.616840017643039,13.877801013221827,14.61076964413493,2.24486949925792
P5,37.83785863220964,42.04147060172761,46.702172526499915,53.0233166226717,56.77821294201436,56.980342307930144,57.22847712054754,58.487709391096935,61.13066516119048,65.09851988388434,8.230550922139441
P6,51.74363584185798,34.281997517124154,24.097857256893473,16.23633642766081,9.850476586516155,4.695353608173028,0.8913369547926144,2.6031651373742135,5.138747827267407,6.8842040486853815,15.654436292375202
P7,133.99608086582853,89.40285778255871,63.83370302013885,47.21028144216049,35.21404338315094,25.258007712556736,17.709145670508985,10.775481700703576,5.739568225028627,2.1288683783716555,39.99669521572203
P8,3.372646093688921,7.086437167712296,7.279122908092627,6.54595136879782,5.979522056800417,5.01341175660704,4.357252647313195,3.86821295049895,4.129541093906537,5.0433162085463525,1.3146622355196274
P9,3.8155760424725798,12.143650601253624,13.908983075348317,14.901696978229209,15.493699981911991,16.466099911720228,16.76841009623548,16.192282848397696,15.782088451926423,15.658873310820233,3.66841321268449
P10,18.176533691411244,26.295057248518265,26.880103105500563,26.273610978216155,24.287826115400982,22.06157613654133,20.1612062890953,18.39615719116934,17.62351763046774,17.679475384392894,3.662023890535666
P11,87.99163972805977,52.396677070217514,35.08941250275899,23.96312999266584,15.911998008936106,8.569611889194096,3.002511540144238,0.8669122304854168,3.391386520377767,4.847672773417449,26.634143183794272
P12,51.485714744597324,42.55525973922043,32.91685845714115,27.524587154344633,19.02495318339395,13.731447738693806,9.38615922613297,5.8275246222748365,3.2956492036930327,1.5628470158859313,16.40405934266941
P13,20.78983753134683,23.685343506640198,21.301654384771723,19.1317615245849,16.208027424641003,13.549968162368447,11.388084734553829,9.443960952951173,8.129558478517387,7.314389136503708,5.651547313382615
P14,38.341279680864325,44.07585930308155,38.27195604741258,33.20918949648112,27.319733013374933,22.298865991706094,18.081659141805734,15.961058957505816,15.203503969063366,15.617932979069312,10.38202870787617
P15,57.97139876469036,38.41886246145912,28.61123123480243,22.922751540189577,16.98887635532745,12.222905935353758,9.199618958021361,5.795437564306547,3.011823816908548,1.030490421581271,17.02563189859132
P16,32.202428347136276,20.933113562003637,13.634015860944487,7.9424682360649745,3.7710635200716696,0.27923065683335657,3.5043831893415347,6.060241372844442,7.978753653907983,9.40425338506682,9.067017386521107
P17,0.8653827810125794,8.286047003911177,9.873100398143885,12.057367928333305,14.384275653433587,14.512244992028913,15.016438620380285,16.099048959810407,18.062745845978217,20.86495462004237,5.343205380666866
P18,11.055127464843574,9.690508665301156,8.155734514070383,5.15053527729809,2.9151356719640007,1.0575296297723005,0.5182779583241682,1.4749648310584975,1.7015110595310694,1.3096647250933438,3.7508306285711326
P19,51.649684053676374,38.942777246625255,27.342519006049887,20.19214443941315,14.1308937264117,8.463749072873677,4.157360433367285,1.5190430484858848,0.06619322964781865,0.7972320569625552,16.832914034642968
P20,12.748275293892979,17.54857513585444,17.20345743244018,15.756465444640131,14.799567711371687,13.609603110578465,10.820142757344916,9.545900798744475,9.317120493742106,9.992178348749036,2.9789827728138865
P21,21.230012516682095,10.999155416861639,5.667790878975021,2.9253762172626288,2.3903035829475914,1.5465451398098686,1.3183415620364172,1.4648119497099075,1.2828263847742567,0.8271942229138255,6.165710113236311
P22,6.3055800185072535,5.370394099176251,6.906520689203049,5.815916686652515,3.7968565517248742,1.1781451916941028,0.4917228491961526,1.3926348736950844,1.5858305059598201,1.1797926034798865,2.3719062099316877
P23,0.33364380308829505,12.95575397553367,17.815658162881405,21.776424111897654,24.085332970556,26.356429864637896,27.92731699530371,29.303246396287953,31.22401897363546,33.73374068055769,9.48847263642098
P24,9.172968726380915,7.32837487185444,17.20675049542491,22.100787421566462,25.534749943044833,28.15584839466293,30.440980783395243,33.30795866656243,36.910218323158304,41.251072044644914,10.707684743554829
P25,5.921518950110067,12.681756949982626,12.195296479218356,12.792520739523358,11.840992281705569,10.419452477496947,8.746594760524983,7.295008035366518,6.215888021581959,5.614531758029442,2.801945605096274

Method: Weights
Sensor,1.0N,2.0N,3.0N,4.0N,5.0N,6.0N,7.0N,8.0N,9.0N,10.0N,Std Dev
P1,9.0315767007898,16.385153918962004,17.86630915410901,17.976750945225966,17.646745932751983,17.828183404304312,18.211481485375817,19.591599499804552,21.862772604545295,24.991949649337496,3.865299999296676
P2,9.541894733028517,0.9538535232713773,5.332569404261283,4.498165013553518,1.3644951429838448,0.9815291513664706,1.1408959709503712,0.1863035099796742,1.7714075133858407,4.714252937532256,2.778763780854459
P3,23.364025557760026,27.42818684094155,29.290892134478845,29.48875472939428,28.893003883649264,28.34456228749677,28.688476939671833,29.104372749971528,30.40897919937056,32.52057288694629,2.210831498242007
P4,11.756311146258891,12.817090814262533,11.120103679090024,7.919661656504831,5.358387522059968,3.957234092046959,2.842488560031667,1.548972502595312,0.882527996314087,0.7286595889682961,4.44675002685701
P5,50.96575977191268,40.387095234040224,36.540178929916735,36.48085270502387,35.28277578588747,31.8473127269749,29.07406306952841,27.559202035530923,27.44303483732591,28.55887528875918,6.958116212440538
P6,3.426415419227744,3.97117342460617,3.5264317462599335,2.2377377016877507,0.6694654644371966,0.7824415144452255,1.6374453638518776,2.6830864763259656,3.1405963173349942,3.062159136862308,1.0930615878748036
P7,49.92977904632616,29.114816064535336,15.806858259642226,6.7672194192549435,0.04254938209674379,5.800896830963047,10.249658763112638,14.52213373638213,17.54437651446465,19.606357514266385,13.449929562630535
P8,6.295625811052025,0.225527434581599,1.5732200796432456,2.0358208540920044,2.3949428540749347,2.1973218162080723,2.181127309745291,2.2419468436037873,2.978778552333462,4.317150424941602,1.5572022882268481
