Sensor,k,alpha
1,2565.9532749715504,-0.2244819112137813
2,6202.847611566779,-0.41913315113718125
3,5513.932226827788,-0.24131547414204843
4,7846.7961836363365,-0.40212753798701534
5,5321.8739198444155,-0.4670758855466803
6,6606.900648702189,-0.3681117057515809
7,7944.02741489489,-0.4770350407671442
8,4786.112773525405,-0.1917478314642182
9,4550.188222165384,-0.24168952823092577
10,4315.406538146154,-0.29959916646300605
11,4035.973077690801,-0.2307686166443334
12,3530.7881025394026,-0.1571053735315131
13,4249.5416094079865,-0.07036575265942703
14,6436.437642011602,-0.20267403361353617
15,6073.179836859615,-0.58885166941126
16,6775.433232208689,-0.05169326226191678
17,4409.961421457209,-0.22500574514882912
18,6222.784384636806,-0.2808371289082363
19,11845.189502896817,-0.5372903638301112
20,8664.019321960484,-0.5115357289123011
21,4868.867342937607,-0.23772368006021877
22,9272.571628530402,-0.4634531883603449
23,11882.08640572336,-0.5368661024453164
24,12271.213352520164,-0.6836739703016078
25,5573.822153144103,-0.2393005341129618
26,11801.654298862846,-0.4346070131232619
27,8616.490015534007,-0.49164160304487536
28,5920.448917531244,-0.3282822323027431
29,8674.638928395336,-0.39952634205554227
30,8927.430102431226,-0.4742047677841518
31,4380.823810533073,-0.2252287803595415
32,5796.208669811474,-0.3143789260637258
33,5195.1944603771635,-0.20903758702515485
34,7272.152212216847,-0.4081410422408265
35,5024.551522936108,-0.3080157281232291
