,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507g,1790.557188,3168.363292,3745.269997,4118.828806,2517.304692,3662.329098,3698.106621,3519.722155,3088.806431,2669.761618,2788.120722,2744.80516,3796.303248,4651.203646,2363.305868,6236.683313,3074.748548,3967.305715,5006.53583,3816.298869,3326.211621,4411.569637,5025.5471,4101.90926,3798.196271,5880.516666,3918.334792,3498.156972,4572.39197,4174.796292,3053.341273,3501.923686,3716.139124,3780.579408,3066.827539
1009g,1534.139653,2374.150075,3171.950158,3122.711467,1825.044328,2842.409882,2662.80357,3084.416649,2615.303339,2172.141188,2378.529041,2463.399044,3616.766991,4045.413515,1575.595983,6018.616445,2633.477852,3269.801216,3458.436673,2683.402882,2824.015638,3206.372753,3472.583577,2561.873945,3221.240286,4359.751887,2793.146222,2790.475491,3472.796737,3011.905097,2614.741276,2820.349202,3218.005169,2854.423166,2480.779976
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507g,4.967,4.967,4.967,4.967,4.967,4.967,4.967,4.967,4.967,4.967,4.967,4.967,4.967,4.967,4.967,4.967,4.967,4.967,4.967,4.967,4.967,4.967,4.967,4.967,4.967,4.967,4.967,4.967,4.967,4.967,4.967,4.967,4.967,4.967,4.967
1009g,9.888,9.888,9.888,9.888,9.888,9.888,9.888,9.888,9.888,9.888,9.888,9.888,9.888,9.888,9.888,9.888,9.888,9.888,9.888,9.888,9.888,9.888,9.888,9.888,9.888,9.888,9.888,9.888,9.888,9.888,9.888,9.888,9.888,9.888,9.888
