,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
R,,,,,,,,,,,,,,,,,,,,,,,,,
100g,5330.919923,7385.642233,2045.767583,3115.548582,5715.832059,2697.714533,7972.475059,4320.440119,3758.426928,4142.484861,2769.414623,6545.267401,5016.626746,5425.181129,3955.923036,3247.693562,4963.33606,3300.36131,6902.02379,5373.997324,3422.283411,3519.593895,4428.21282,4171.01796,5299.785577
500g,2640.823782,3795.998615,1171.888399,1909.128212,2535.986168,1417.920379,2940.981899,2127.55112,2515.876063,1507.014422,1495.109861,3160.164161,3049.781712,2088.626585,2149.262244,2198.983566,2040.548619,1733.082723,3728.748653,2668.947977,2299.911039,1868.701787,2390.892153,2094.60302,2901.13751
F,,,,,,,,,,,,,,,,,,,,,,,,,
100g,1.009,1.009,1.009,1.009,1.009,1.009,1.009,1.009,1.009,1.009,1.009,1.009,1.009,1.009,1.009,1.009,1.009,1.009,1.009,1.009,1.009,1.009,1.009,1.009,1.009
500g,4.948,4.948,4.948,4.948,4.948,4.948,4.948,4.948,4.948,4.948,4.948,4.948,4.948,4.948,4.948,4.948,4.948,4.948,4.948,4.948,4.948,4.948,4.948,4.948,4.948
