Sensor,k,alpha
0,4881.941194488982,-0.38427665881325285
1,5940.127070142901,-0.2800423032941074
2,1863.5901419134273,-0.29011453864604425
3,3383.918845393214,-0.3579697798771547
4,5127.293827031318,-0.44027686252932974
5,2253.997133480662,-0.28988034005852026
6,6598.633871445367,-0.505395556970283
7,3270.59974812569,-0.2689219620799567
8,3004.6060266865597,-0.1110238976364544
9,3004.4351837934455,-0.4314985874034705
10,2852.332650599642,-0.40396755939940987
11,5550.5555728189365,-0.3522700928706123
12,3827.6654361841424,-0.1420809275978174
13,3517.2036293736505,-0.3259317883084782
14,2953.5061165270313,-0.1987940130819825
15,3087.597762585114,-0.21225868619134042
16,3371.6591358853493,-0.314065942580375
17,2118.436089087475,-0.12556501349459934
18,4898.218409864043,-0.17060767752507003
19,4768.854044056428,-0.3629941594418994
20,3291.658793164876,-0.22421819666684287
21,2836.8954910871184,-0.26108235073593233
22,4088.8696067183196,-0.3355894449660048
23,3297.8736700717786,-0.28387652852037293
24,5198.600406477018,-0.3647858457784883
