最大値 = 449.3,3.468
最小値 = 1.0,1.895
平均値 = 100.29,
単位 = N,mm
データ数 = 489,
記録レート = 0.1,
ファイル作成日時 = 2025/04/01 15:19:05,
コメント = ,
マーク点 ON = ---,---
マーク点 OFF = ---,---
しきい値 = ---,
1st ピーク荷重 = ---,---
2nd ピーク荷重 = ---,---
103.9,2.965
105.2,2.968
106.3,2.971
107.6,2.974
108.9,2.977
110.1,2.980
111.4,2.983
112.8,2.986
114.1,2.989
115.5,2.993
116.8,2.996
118.2,2.999
119.5,3.002
120.9,3.005
122.2,3.008
123.7,3.011
125.2,3.014
126.5,3.018
127.9,3.021
129.3,3.024
130.8,3.027
132.3,3.030
133.9,3.033
135.5,3.036
136.9,3.040
138.5,3.043
140.1,3.046
141.6,3.049
143.2,3.053
144.8,3.056
146.3,3.059
148.0,3.062
149.7,3.065
151.3,3.068
153.0,3.072
154.7,3.075
156.3,3.078
158.1,3.081
159.9,3.085
161.5,3.088
163.3,3.091
165.1,3.094
166.8,3.097
168.6,3.101
170.5,3.104
172.2,3.107
174.1,3.110
175.9,3.113
177.8,3.116
179.6,3.119
181.5,3.123
183.4,3.126
185.3,3.129
187.3,3.132
189.1,3.135
191.1,3.138
193.0,3.141
195.0,3.145
196.9,3.148
198.9,3.151
200.9,3.154
202.9,3.157
205.0,3.160
207.0,3.163
209.0,3.166
211.1,3.169
213.2,3.172
215.3,3.176
217.4,3.179
219.6,3.182
221.7,3.185
223.8,3.188
226.0,3.191
228.1,3.194
230.3,3.197
232.5,3.200
234.7,3.203
236.9,3.206
239.1,3.210
241.3,3.213
243.5,3.216
245.9,3.219
248.1,3.222
250.4,3.225
252.6,3.229
255.0,3.232
257.2,3.235
259.6,3.238
261.9,3.241
264.2,3.244
266.6,3.248
268.9,3.251
271.3,3.254
273.6,3.257
276.0,3.260
278.4,3.263
280.8,3.267
283.3,3.270
285.7,3.273
288.2,3.276
290.7,3.280
293.0,3.283
295.5,3.286
298.0,3.289
300.4,3.292
302.9,3.296
305.4,3.299
307.8,3.302
310.3,3.305
312.8,3.308
315.2,3.311
317.7,3.315
320.4,3.318
322.9,3.321
325.4,3.324
328.0,3.327
330.5,3.330
333.1,3.333
335.7,3.337
338.2,3.340
340.8,3.343
343.4,3.346
346.0,3.349
348.7,3.352
351.3,3.355
353.9,3.358
356.6,3.362
359.2,3.365
361.9,3.368
364.5,3.371
367.1,3.374
369.8,3.377
372.4,3.380
375.1,3.383
377.7,3.387
380.4,3.390
383.1,3.393
385.8,3.396
388.6,3.399
391.2,3.402
394.0,3.405
396.7,3.408
399.5,3.411
402.3,3.415
405.0,3.418
407.7,3.421
410.5,3.424
413.3,3.427
415.9,3.430
418.7,3.433
421.5,3.436
424.2,3.439
426.9,3.443
429.8,3.446
432.4,3.449
435.2,3.452
438.1,3.455
440.8,3.459
443.7,3.462
446.5,3.465
449.3,3.468
