Sensor,k,alpha
0,4775.365815923693,-0.38315583547562787
1,7277.250830524089,-0.3671384506984285
2,4736.222369428342,-0.34217648745728346
3,4294.777718676531,-0.25646299642249837
4,2792.7347020153525,-0.26482251507596466
5,9897.719672665458,-0.5837496328119949
6,4873.485194617001,-0.4032078076604677
7,15049.735781469437,-0.7866972736448913
8,2642.3412342427896,-0.3150438987289544
9,6507.200407019459,-0.37275953091700353
10,3117.778927590332,-0.1640052082812001
11,6974.607219118587,-0.2560625146113612
12,4136.086047606163,-0.2549502384221795
13,9396.312803273124,-0.499170237388357
14,3785.391747274407,-0.1492583010193902
15,3188.133629667018,-0.20260291453876247
16,8959.536511774873,-0.6372229090973655
17,3609.5952990640376,-0.16414211545209828
18,9355.904831297215,-0.3164701300218201
19,33503.01544946313,-0.5040236958532304
20,5166.052672128024,-0.19226153627119372
21,25162.780529368374,-0.7369539316585971
22,14364.751527968594,-0.46985561138181664
23,18452.64691108251,-0.2856026256030281
24,34252.73836841789,-0.8470466912292909
25,74076.41872442767,-0.2519815731749333
26,8551.812430989386,-0.3882458672120854
27,4327.6744441065275,-0.05183468322497334
28,422982.2229513487,-0.8679765863175364
29,21883.52628323653,-0.3432411407879501
30,45098.8386568766,-0.2723880651115791
31,28951.517430984313,-0.7954593228651808
32,35593.79248190732,-0.38116360021882023
33,47359.713659335895,-0.2881016556226449
34,7817.0085953073585,-0.40871047888701856
