Pressure,Resistance
0.17,169714.16414085103
0.3675510204081632,204988.6543603878
0.5651020408163265,193697.5943707888
0.7626530612244898,180639.6309393889
0.960204081632653,151768.62084708325
1.157755102040816,143764.80552326675
1.3553061224489795,130275.33805676586
1.5528571428571427,121639.32879720467
1.7504081632653061,114422.20286217918
1.947959183673469,110565.47529746714
2.1455102040816323,108137.13338128035
2.3430612244897957,105160.75827808144
2.540612244897959,102110.60077768606
2.738163265306122,99133.73265957534
2.9357142857142855,96126.9653822449
3.1332653061224485,93253.80431785439
3.3308163265306114,88773.13647083327
3.5283673469387753,84280.62889669475
3.7259183673469383,79668.1717040511
3.9234693877551017,76378.85702463178
4.121020408163265,72256.06494442416
4.3185714285714285,66480.64853727422
4.5161224489795915,61181.679238830315
4.7136734693877544,57851.82662185767
4.911224489795918,55404.984628129845
5.108775510204081,53694.42117368086
5.306326530612244,52494.28931736163
5.503877551020406,51675.624497368895
5.701428571428571,50954.14379176977
5.898979591836734,50393.59740551363
6.096530612244897,49847.969479127925
6.294081632653061,49298.92339586726
6.491632653061224,48751.46706015213
6.689183673469387,48198.560336530274
6.886734693877551,47608.39853829934
7.084285714285714,47085.82279758307
7.281836734693877,46623.004362241096
7.479387755102041,46222.32683486724
7.676938775510204,45892.40568235271
7.874489795918367,45568.048131277115
8.07204081632653,45195.71997601144
8.269591836734692,44822.23256393237
8.467142857142857,44472.09431171237
8.66469387755102,44405.88673007782
8.862244897959183,44328.13770430303
9.059795918367346,44231.85870682645
9.257346938775509,44103.42435052826
9.454897959183672,43985.994507948206
9.652448979591837,43868.564665368154
9.85,43751.134822788095
