Pressure,Resistance
0.16,22064.35896586796
0.36020408163265305,10586.14265059618
0.5604081632653062,7995.088302318411
0.7606122448979592,6411.318296677338
0.9608163265306123,5515.928067187838
1.1610204081632653,4667.996069985095
1.3612244897959183,4034.022826967082
1.5614285714285714,3508.1474019467714
1.7616326530612245,3219.755484347333
1.9618367346938779,3037.179599446623
2.162040816326531,2895.9620172211685
2.362244897959184,2756.395509825214
2.562448979591837,2645.203720452659
2.76265306122449,2538.99968090067
2.962857142857143,2461.7373567618724
3.1630612244897964,2397.009741643776
3.363265306122449,2334.687376742745
3.5634693877551022,2281.145175534459
3.7636734693877556,2230.005580230625
3.9638775510204085,2186.0948562868407
4.164081632653062,2151.3109815846237
4.364285714285715,2120.1389002700894
4.564489795918368,2090.004897980539
4.764693877551021,2064.632895583494
4.9648979591836735,2040.5059491334598
5.165102040816327,2020.4765660582343
5.36530612244898,2000.2835820692862
5.565510204081633,1981.4519398735792
5.765714285714286,1962.93271451418
5.96591836734694,1943.4691682151451
6.166122448979593,1923.7033552336568
6.366326530612246,1906.143942348944
6.566530612244899,1888.8614881236506
6.766734693877551,1872.6238770730936
6.966938775510204,1860.182243890107
7.167142857142859,1847.982227708166
7.367346938775511,1837.1454856834944
7.567551020408164,1828.3178944559868
7.767755102040817,1820.1618419210615
7.967959183673469,1812.3153638251945
8.168163265306124,1804.447423241368
8.368367346938776,1797.2987517988593
8.56857142857143,1790.9087671158259
8.768775510204083,1786.768584856439
8.968979591836735,1782.1195593620942
9.169183673469389,1777.5258706515851
9.369387755102041,1773.8882935428453
9.569591836734695,1770.38827750632
9.769795918367347,1766.8882614697952
9.97,1763.3882454332704
