Pressure,Resistance
0.15,217835.20541103755
0.34591836734693876,86465.97753115425
0.5418367346938775,47770.54505022461
0.7377551020408163,35124.46854105778
0.9336734693877551,29842.021010260843
1.1295918367346938,26816.588345960026
1.3255102040816324,24172.049093538266
1.5214285714285714,23208.260682809905
1.71734693877551,21902.756573078495
1.9132653061224485,20622.45256670302
2.1091836734693876,19489.837301752606
2.3051020408163265,18667.08387148248
2.501020408163265,18209.236356802747
2.6969387755102034,17801.750486207722
2.892857142857143,17332.947594619935
3.0887755102040813,16798.262375045724
3.2846938775510197,16191.961567550896
3.480612244897959,15622.227477774533
3.6765306122448975,15136.934769857906
3.872448979591836,14567.417124271762
4.068367346938776,13850.758009153695
4.264285714285714,13279.288731030536
4.460204081632654,12749.78444486825
4.656122448979592,12369.768941306907
4.8520408163265305,12022.4029462173
5.04795918367347,11700.365095965326
5.243877551020408,11396.391711290957
5.439795918367348,11114.377260499852
5.635714285714286,10821.759785235763
5.831632653061225,10532.734633360995
6.027551020408164,10231.531528247871
6.223469387755102,9931.800012268443
6.419387755102041,9686.69153366259
6.61530612244898,9448.371854602092
6.811224489795919,9222.241202400086
7.007142857142857,8984.237775528714
7.2030612244897965,8747.842458399704
7.398979591836735,8538.632239084109
7.594897959183673,8337.621052870565
7.790816326530613,8146.069871530276
7.986734693877551,8008.803290826882
8.18265306122449,7886.656250231932
8.378571428571428,7765.319884352049
8.574489795918367,7649.1210698947625
8.770408163265307,7549.521180429666
8.966326530612244,7449.937988584589
9.162244897959184,7346.754269864698
9.358163265306123,7241.596035628055
9.55408163265306,7136.43780139141
9.75,7031.279567154767
