Sensor,k,alpha
1,3054.8141376253275,-0.15758524396218715
2,5679.460058122625,-0.3151362259361923
3,5957.204757559904,-0.18039963568950562
4,6836.667605036886,-0.2609649022010188
5,6730.451297591254,-0.37237083080507344
6,6504.954859856918,-0.19960979834112808
7,5415.270498939596,-0.1644078152978192
8,6314.04467790848,-0.1883739393303941
9,5804.834685504066,-0.18073423601136723
10,5001.595845498877,-0.2288431259691436
11,6086.567760275728,-0.2310060808888999
12,4375.07688869654,-0.14047910388929113
13,5345.305878190951,-0.05509013894893492
14,8652.471538832398,-0.24081855075043018
15,6074.785423897204,-0.4233555216847183
16,14447.042588653585,-0.25215733983012356
17,9953.266054803473,-0.41853867069077044
18,16116.768219855572,-0.5795713462451247
19,20370.891040535313,-0.6384824428378479
20,7530.885686742679,-0.37466802913997893
21,5272.179179977227,-0.10347715999572285
22,13766.158807508034,-0.4059429594692121
23,10486.533194915062,-0.3414935718096564
24,13244.366725547736,-0.4867112437624904
25,6818.309701544895,-0.16355529600153118
26,18626.642327728212,-0.5841494606101458
27,7929.449773716224,-0.30294103451103266
28,11490.694394280443,-0.3750251593788301
29,6992.60267284277,-0.1655563259148121
30,15457.293890041423,-0.4788759288194365
31,3567.9711218432144,0.05423695845334045
32,5896.106443686834,-0.1658000475045824
33,4420.001835857445,-0.01966672393892047
34,3851.2872669395765,-0.04281292520288264
35,4468.313261823213,-0.15744628076015638
