Sensor,k,alpha
1,3300.449561963781,-0.0758645658393287
2,5574.549688576414,-0.1979309926386793
3,4780.2720093846965,-0.18152086236580753
4,3698.9385883302944,-0.26133847709914926
5,10456.47373191749,-0.6691571321224227
6,6284.843788960982,-0.1862334856595411
7,3815.0840305559996,-0.08813771890029522
8,4904.856401633836,-0.13132252736294342
9,4580.49488820499,-0.10694932340557951
10,4081.80069328982,-0.06620159358531
11,4434.617860014491,-0.09718559842967274
12,3228.3408863585382,-0.09341945311705135
13,4687.641541402901,-0.2514119472901796
14,7695.489976270492,-0.40921139210504726
15,3580.7006827917935,-0.24839334454539602
16,6403.746550632539,-0.06442743821596976
17,6208.798273379954,-0.2083815598354602
18,5543.097242863468,-0.19605104807909
19,19923.903378996725,-0.28130099155704197
20,3901.5132317544976,-0.08040647554376291
21,4234.517035912617,-0.2628907631233918
22,4830.159665521923,-0.23444408262296756
23,12980.841934745917,-0.46051178577934176
24,38552.59780170562,-1.042534887868982
25,7633.242539243471,-0.22631095094282128
26,5709.136321600346,-0.20481198684353108
27,5279.027059310368,-0.30402287276225604
28,5169.866050642834,-0.3323000318205284
29,7959.460998952631,-0.44312764511110614
30,4819.265485757457,-0.31217083539561175
31,9830.25930323853,-0.4583766457051867
32,9281.559972630112,-0.6639482080572249
33,9207.988869808412,-0.42385052783162636
34,11112.926889487098,-0.5650653213330618
35,4805.605850565504,-0.22283552771609472
