0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
1.698026968,1.826222744,1.173029147,1.703339029,1.429085419,1.113424233,1.60055799,1.704216923,2.1160195,1.606050479,1.931503288,1.741780652,1.679335612,1.109153037,2.058466102,1.695236407,1.503026703,1.335128041,1.036987914,1.688258713,1.626789322,1.643888696,1.089413791,1.391068571,1.593269515,1.512154432,1.745593687,1.041306821,1.05900103,1.823108137,1.584057683,1.590799881,1.203679688,1.938205603,1.745476489
1125.519226,1030.231521,1811.785356,1121.222052,1396.491238,1946.534601,1210.655642,1120.515039,864.7356639,1205.517114,963.25831,1091.076451,1140.904974,1956.964256,893.2323384,1127.789864,1309.794311,1524.735846,2151.760009,1133.50781,1186.501878,1171.269045,2006.653366,1445.691258,1217.542431,1299.83272,1088.174435,2139.017428,2088.350533,1032.354973,1226.359481,1219.893764,1749.507163,959.288295,1088.263402
1.599252581,1.883116975,1.159938241,1.835804151,1.437819198,1.165235805,1.670436667,1.643186,2.073242246,1.618251391,1.888649653,1.711325061,1.4703465,0.880461453,2.207783494,1.617266319,1.566070962,1.3521577,1.05547232,1.723135,1.629521975,1.780167037,1.077971632,1.370452177,,,,,0.850382733,1.98512112,1.685285424,1.854359759,1.251858182,1.925065758,1.748444646
1211.883374,992.9241584,1839.75663,1023.75361,1385.657664,1828.333963,1148.378896,1171.887325,885.7384628,1194.257101,989.4398526,1114.82317,1346.747282,2744.249395,822.8787754,1195.158395,1243.948746,1499.772583,2098.262379,1105.493096,1184.040972,1062.549397,2036.628949,1473.850245,,,,,2897.566923,932.3891626,1135.961959,1011.437177,1659.824887,967.1025454,1086.014699
1.611878562,1.886038537,1.1733145,1.733161293,1.284186934,1.145006575,1.609396084,1.630184355,2.093236322,1.331791681,1.909653516,1.778413885,1.601416763,0.981579911,1.759768714,1.58463,1.498510625,1.322356744,1.04286975,1.474139216,1.461903065,1.427720069,1.028129634,1.361479639,1.697343454,1.514008288,1.6677325,1.05818649,1.238640423,1.994757778,1.563759077,1.705003636,1.279482118,1.831008356,1.754384432
1200.112107,991.0811989,1811.185113,1097.693842,1604.62967,1872.734319,1202.408439,1183.445998,875.7961989,1529.724186,976.4319885,1063.819714,1209.849325,2329.819003,1077.520176,1225.807972,1314.77963,1544.009093,2134.443244,1342.352086,1356.636092,1398.200179,2178.376548,1486.450945,1126.074546,1297.827989,1150.669472,2090.630185,1683.500916,927.0496447,1246.246206,1119.882217,1612.432902,1026.985792,1081.542455
,,,,,,,,,1.365281318,,,,1.030819019,,,1.649438492,1.406390355,,1.640624291,1.708344088,1.853491375,,,1.66099181,1.660133101,1.927248467,1.280573452,,,,1.9979685,1.379430851,,
,,,,,,,,,1481.085796,,,,2170.226385,,,1166.40878,1425.451159,,1174.14683,1117.20314,1012.00696,,,1156.419178,1157.155772,965.7956854,1610.616104,,,,925.2841913,1461.452982,,
500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.636386037,1.865126085,1.168760629,1.757434824,1.383697184,1.141222204,1.626796914,1.659195759,2.094166023,1.480343718,1.909935486,1.743839866,1.583699625,1.000503355,2.00867277,1.632377575,1.554261695,1.35400821,1.045109995,1.631539305,1.606639612,1.676316794,1.065171686,1.374333462,1.650534926,1.562098607,1.780191551,1.126688921,1.049341395,1.934329012,1.611034061,1.787032944,1.27861271,1.898093239,1.749435189
1177.904294,1004.425858,1820.811959,1079.260008,1455.635065,1881.281027,1186.495027,1157.96089,875.3393231,1335.22351,976.2596888,1089.507309,1226.704773,2265.784166,919.4465942,1181.480229,1255.77405,1497.109125,2127.920791,1182.230794,1204.968537,1143.429449,2071.2409,1468.465464,1165.45334,1247.901558,1062.531656,1914.841309,2115.709236,961.5805357,1200.892299,1057.603497,1613.883186,983.5487358,1085.266322
-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.849327413,2.170883431,1.381517817,2.230648724,1.688985385,1.328311797,1.962110441,1.767376963,2.215998108,1.860756622,2.116949816,1.889984312,1.831274865,1.273164829,2.371165474,1.788241748,1.762379023,1.519931009,1.178101485,1.947207895,1.731062439,1.726691024,1.126824074,1.585255063,2.001316062,1.811038301,1.971489366,1.443045185,1.611320809,2.323716388,1.743283317,1.963127616,1.384568333,2.14372931,1.914223677
1014.748054,839.2134624,1458.601227,813.0722316,1132.909628,1534.962011,945.3912666,1071.887243,819.3285452,1007.259616,864.2899578,988.6029843,1026.80564,1623.030673,757.58846,1056.73749,1075.580917,1291.464487,1801.174605,954.0071357,1099.317378,1102.714284,1914.523699,1225.206203,923.450641,1040.667206,940.0482052,1379.255241,1200.627274,775.4572213,1089.93096,944.8088597,1454.452785,851.6542216,973.6468274
1.745868503,2.166628101,1.3436512,2.221613469,1.756319118,1.349886127,2.066553165,1.83313671,2.458926232,1.907432347,2.086769661,1.892564785,1.820272733,1.242632,2.281336231,1.809709151,1.737017372,1.528066984,1.189344352,1.955426,1.777426907,1.982798288,1.100905323,1.421267379,1.48390384,1.777134255,1.893524821,1.418817566,1.580175938,2.324216701,1.791946492,2.089246328,1.34426803,2.091741955,1.868920199
1087.965875,841.1389857,1512.138987,816.9192483,1080.093714,1503.055065,889.1152639,1025.548848,726.6202149,977.7913824,878.9873042,986.9889642,1034.295699,1676.280205,792.1450769,1041.590751,1094.723497,1282.824072,1778.093169,949.2365339,1064.536206,933.6854194,1977.423596,1406.333613,1331.16724,1064.748841,986.3898302,1409.446369,1230.113231,775.2644134,1054.092164,877.7623989,1511.23541,876.5315644,1001.978137
1.835280056,2.255409034,1.362413,2.217328102,1.711143042,1.29825907,1.798873784,1.81505586,2.353345486,1.922368571,2.114633313,1.87977223,1.793033562,1.295856467,2.218900076,1.730350975,1.688080113,1.395741712,1.056681769,1.757967256,1.768013088,1.913124574,1.140498556,1.567984772,1.837669868,1.747737509,1.965512021,1.265934244,1.239506813,2.209952551,1.689423831,2.018802135,1.424649464,2.15692592,1.809107337
