Method: 500-1kg 1 time
Sensor,2.0N,2.5N,3.0N,3.5N,4.0N,4.5N,5.0N,5.5N,6.0N,6.5N,7.0N,7.5N,8.0N,8.5N,9.0N,9.5N,10.0N,Avg Err
P1,5.123948873322721,0.7550095756801105,0.457085687268085,0.6043348760625685,0.5527906146599236,0.8947515785477432,1.652447147481987,2.4059841292965527,3.2643701009763695,3.66471785636042,4.101323877398211,4.384655410689828,4.551960302607625,5.1353437697596895,5.480428556465536,5.755703871681876,5.936940008313963,3.218929190386659
P2,10.455066630310922,4.401537861711797,12.109653152668395,9.866748822500586,6.237558451293398,2.747742615135815,1.4546535291714295,4.171585487055276,5.02550948304301,8.25597117328694,9.700914308588672,9.661100533540688,10.255732579807109,11.530203180783353,13.473040339010534,15.286383036503576,,
P3,85.55907006328147,79.17786776272384,72.75452789331284,63.92366470559788,57.402406813744825,49.45091301655552,41.84420945377546,32.39496525539052,27.099212979900248,22.19396131641586,17.07598249864331,12.175486966654194,8.313810628577313,5.5326339665794935,3.260789410622337,1.1901900354118196,0.7725365433386691,34.12483701826621
P4,53.38996541442756,41.170631148194424,29.586056565788866,22.079030636113504,17.774660219609864,15.403092415144856,13.02189596048256,10.523279828007068,8.634904524086108,6.919179353515088,5.886596230641048,5.240298030186587,4.756826528660391,4.204834749335523,3.903878602385392,3.7718764513737497,3.606081575793855,14.698416954926262
P5,49.534468058260124,34.08194671249085,24.696311523927715,15.9979655426115,10.559300996111217,7.868021573621348,6.15289680349246,5.248681350398342,4.355405642517789,3.5183252331471886,2.899541835378554,2.3853220026823108,2.315508098656457,2.6782782363809745,3.3357696826294574,4.047911128708235,4.5252758661661625,10.835348840422395
P6,57.61078843355677,53.65466354381815,49.17980310418664,44.37285509429437,33.9590641601586,24.219615391719692,15.774774410002262,9.11690033630284,5.796973820381738,3.457524044110344,1.9759543674843294,1.3890805000356816,1.2014614688586502,0.9948839441025555,0.6484952334389259,0.749495515359752,1.0201326004482658,17.948380351074093
P7,5.118151359959851,4.593487255708389,3.771932981370809,2.0904065535764254,0.8342837524134934,0.3976714814339607,0.6101225188196641,2.1605720421851773,3.6614729582416574,4.964055275938553,6.239106104746799,6.513330346359659,6.139063841473057,5.911818676036597,5.978183500211018,6.1907553776562025,6.458830497597682,4.213720266101706
P8,55.43137955583104,32.50738620102475,19.339219925048504,8.24364080249966,3.5645670937827107,0.5240106495624908,3.395432401357755,4.61453513382726,5.1208130379262675,4.625909593077605,4.185108214627383,3.794681495797684,3.598624174920139,3.807658372493924,3.6100899075417225,2.983524704523382,2.3431144316518764,9.511158570323186
P9,32.08645591730843,15.635078378461056,3.702881071639645,5.587607561837709,8.063276328091618,8.037552991274454,9.289312211604104,9.745694551022714,9.745410108353887,10.132930490612175,9.991573869347524,8.99040903834929,7.830869833141562,6.897492125913735,6.645629614503943,6.1140236632013405,5.655359372066542,9.655973948631162
P10,19.324549857580706,32.767773253583655,33.653479161073065,30.85769830994543,27.882392523386514,27.93580813570979,25.452220276215304,23.50705765521068,20.498174076580675,18.941649209100206,18.17757113251119,17.104720044952266,15.760445767963914,13.9706654129172,11.733387761223058,9.515223482836783,7.538293034969843,20.860065240927074
P11,47.96626269325377,32.54966475274435,25.36523182846692,16.44720891841706,11.692336182770322,9.263774093921157,7.8408895659361555,6.516785349340562,6.213175539644815,6.222357732900285,6.4030042986983275,6.540649414289163,6.222394011464545,6.231406721325016,6.695181122809488,6.916114319850311,7.018183812527872,12.71203649166824
P12,47.79420059850717,37.95153774630008,32.16539889407032,29.197739334196637,25.131752900598737,21.946472142792146,17.280661508635895,13.371589550417566,11.19284371664536,10.285842359215406,9.502301377075579,9.017021177758783,8.874413649972858,8.731526087348978,8.484714846968496,8.246586878119233,7.90311449931153,18.063395133407926
P13,62.14691344643352,53.622739985499386,44.69765576230381,40.43552378300017,40.083685730261,39.48318121458209,35.75382276907889,30.413463257133824,26.40127348621473,24.76625742962008,23.141622654523506,21.020904953889563,18.678956961697395,17.08616104931801,16.36541333547929,15.947049870147078,15.335210258689141,30.904696232227735
P14,27.197206066534413,21.79740559751534,19.003160461394888,13.675850310520762,10.628233844669335,10.178427428154407,9.879266750840129,9.505868070562506,8.698934478228072,7.4476224001361135,5.777510737799767,4.306605375149295,3.4288693402440322,2.816341667629164,2.878433390087057,3.3205533226498813,3.8356354214971105,9.669172039036015
P15,55.07224351160455,44.99824728501463,40.38337343693738,34.94915569614888,29.7753025350285,26.364230235495636,24.34013523754511,22.31215453659964,20.665368238076496,18.586132810489897,16.643045315334014,14.55266507655264,12.03560827296294,9.738663390921909,8.45169855572373,7.528630007167584,6.339181783805914,23.10210799561232
P16,99.92695492495632,78.32363484725012,55.71158170230375,37.80471206756492,25.14509773799599,18.474437802173366,13.97232636781542,10.409893612916926,7.891423293756476,5.9975728423886006,4.456258395158683,3.4178033362502256,2.5087429142303304,1.8464729344477877,1.389813875687709,1.1742621945469145,1.0494623575671798,21.735320659235928
P17,42.35885260087617,29.383294512470616,14.569036598793529,10.783677540599486,9.541482440276202,6.324749153278074,3.5335383973957084,1.5185783205779135,1.1524487653476896,1.1039954397331573,1.3894526498256938,2.0803015126137043,2.5902372328063503,2.7681629735650772,3.248630837913761,3.879284268401129,4.357820682000021,8.269620230969075
P18,22.351834249113868,22.679654033195177,26.865331466931288,30.122743471396436,33.39880121942866,32.38670828953984,31.946884180840485,32.79174996083711,31.026699483882552,29.51860766858532,28.191700409807694,25.26143580930812,21.966325828837537,20.226960085750875,19.68209984635884,19.893220905425736,20.046407045731726,26.373950820880662
P19,36.703801241040836,35.16127610025974,32.101045025028334,29.320105499963276,27.976590162751098,26.72441676393621,22.356503661079618,20.22327664229078,18.89570902217028,15.580684365824398,10.427337287207424,3.6968992040407334,3.0917857646323257,9.36287925703025,15.763431276499135,19.015642307725948,22.02047693190561,20.49540355961094
P20,58.9106667392834,43.49897201544226,33.64757664370196,28.177850458244958,23.63166357320595,20.323490829395226,17.108671178996737,14.92453050213148,13.187342486049491,11.376638830344627,9.98938594048927,9.10302701133379,8.370275622306432,7.835923221953769,7.040931606743993,6.194979367696259,,
P21,46.731700480093394,36.30026566095085,32.73283708875387,28.225046578153766,24.149793371604538,21.867619070922895,20.151904878459412,18.655094271596923,16.775401069517798,14.084052051125513,12.363710135641819,11.339005210391997,10.319811201657428,9.279260712965833,8.894217542401414,8.596008558476171,8.15366403777915,19.33055246591134
P22,41.21112323952324,34.94955442008893,31.503396430197558,27.22915934235618,25.849620362126007,24.11917009727444,21.539890799028765,20.576966553880176,18.638636580362324,17.20586943208303,15.218329916650298,13.691648712478985,13.104436977520951,12.732719513217097,12.400823661480903,12.314512800952402,12.245496351894099,20.854785599477374
P23,92.9177331059776,89.39754275355395,71.58127559439484,54.205369524072836,35.07303624357014,24.614635517720014,19.43276578024215,15.182274152962075,12.329990471380759,10.01093709062348,8.156256365443438,6.562274707143639,5.193791655077114,4.356466701773453,3.789245325654518,3.344744476345608,2.9414502336060018,27.00528174703186
P24,17.372234056509914,12.054747961417984,13.179024006215464,14.213337992926038,17.662330919460533,21.545615763761152,25.03282571181497,23.88355726684173,21.589930361272376,17.218147402423938,11.778158723440008,7.966813960232666,1.8882098391472892,3.6602946948629063,7.23324747642124,10.045617490215351,,
P25,71.85125414521079,52.71603393825301,41.08478510010306,36.896575151780475,32.619091367154645,26.33843382254502,22.87847483230267,20.088264980849825,16.945822239404542,14.40412773592889,13.38252763423219,13.316979014549238,13.359514612443268,13.522362340284614,13.215618188524738,12.829143053912288,12.35288496364659,25.16481724241917
P26,42.407529823186216,38.86571280199037,33.209255603693855,28.614842787812698,23.13187181430471,19.36870561195212,17.464787169045554,16.430212657000684,15.610850932032186,14.464682639414027,13.296161020757864,12.130823823140357,10.919227334152005,9.976533185094963,9.719397007672901,9.649454400287764,9.615350323262678,19.110317584400057
P27,47.86455796282527,34.883916410321206,30.341277009358468,26.642908280611227,23.42635857983709,19.326444016050715,16.627279437257545,15.59070549374741,15.599563526733046,14.38697107874883,12.844495951857164,11.813227779903501,10.864037099116336,9.586174036794135,8.274882325388992,7.754727060231885,7.166857797454029,18.411434343896286
