Sensor,k,alpha
1,4688.310486598449,-0.1650707805179073
2,8290.491098948696,-0.2371732652919946
3,11870.942195776535,-0.41805649274066253
4,4498.587032549197,-0.23106349518351643
5,4591.896328971753,-0.13319017315886966
6,10326.871614191272,-0.2235434724175469
7,5463.805291032751,-0.17083003189448473
8,5801.075006676604,-0.1549987000761252
9,5148.458265006238,-0.3001040269052752
10,6844.296184505786,-0.1837419861136211
11,10158.515916352279,-0.32571071623050724
12,4799.742411369389,-0.08266511846397373
13,7036.209684294372,-0.15693597910619062
14,9049.792805524803,-0.29130953686818656
15,5034.548096909144,-0.04366184141128333
16,7879.71981226825,-0.24496094085487238
17,23267.57979834308,-0.6912909829321975
18,5513.665054288872,-0.2845266804528015
19,32560.02010367431,-0.7330451743231462
20,21994.19357897304,-0.5865617544886654
21,4523.960792485643,-0.20509941862067818
22,21367.075580566514,-0.6336798198772577
23,13882.137993262932,-0.26037640876420476
24,39657.40515108004,-0.8032913622691278
25,10279.555092443867,-0.3978947877842582
26,18984.93417165914,-0.5972914917552287
27,32547.224103658053,-0.6017464486494261
28,12979.030630792013,-0.20811398260988098
29,4707.465212353104,-0.08311678607019266
30,45423.659289188894,-0.6830018110463429
31,8780.860880477683,-0.19342966071441503
32,230644.95481916002,-1.0463935507601712
33,43045.60954845276,-0.406525743247156
34,19993.404707171667,-0.35822491455165584
35,14571.45957876117,-0.4013505369680257
