Method: Different_times
Sensor,1.0N,1.5N,2.0N,2.5N,3.0N,3.5N,4.0N,4.5N,5.0N,5.5N,6.0N,6.5N,7.0N,7.5N,8.0N,8.5N,9.0N,9.5N,10.0N,Avg Err
P1,17.8466381713988,10.940941475520955,19.85655368045964,21.367783628559817,21.07048834414092,20.91400026478187,20.321574030180606,18.847694990660916,17.373084089084134,16.31182431634947,14.983514540734635,13.65902933354736,12.484864080024437,11.433322580322775,10.499082143565655,9.39372743614046,8.127836322639206,6.859066026285944,5.755898849158273,14.634048647555568
P1,25.123719173721422,2.315538901497126,11.468437340242946,13.610179104546381,13.93554802364155,14.300515691432672,14.183889908583298,13.172924633921827,12.112372244735555,11.407637497895692,10.414912576259004,9.397896323787997,8.501786950920383,7.703776214010319,7.001829309608913,6.118745371607487,5.065586978888312,3.996453296851604,3.076776665953793,10.153080326742435
P1,28.41751858241006,1.5569949635390457,7.737817875948885,10.195505443530532,10.829733619184937,11.455739492998337,11.577049721589795,10.795051708343891,9.93955035057231,9.413028715336562,8.587179882141708,7.723075750516261,6.965793236097849,6.294826215859155,5.709743658188584,4.937739053250771,3.990123511103533,3.0198558308106707,2.1915581224044947,8.491467670201441
P1,32.928228825907006,6.524482873322255,3.2718973596420557,6.4042119110300595,7.6589794923395,8.816275402187365,9.413222708697337,9.067239742593255,8.600006152720923,8.418551267184228,7.907959158614097,7.330881193920701,6.835919062290572,6.40646318189438,6.045174562545109,5.48041041070258,4.72418929479786,3.9313551668741944,3.2694513469222377,8.05446837443083
P1,36.65676507872808,10.756270869844878,0.640262677210255,2.987461653411552,4.712350000949516,6.2761284446317385,7.242246576964928,7.241119447530233,7.083658203336678,7.1781612540260005,6.92245972512304,6.579040449392275,6.298460160246563,6.06710768516784,5.889968492968043,5.497301893477495,4.901533794153651,4.258322056929589,3.7368445648927473,7.41712963310448

Method: True_all_points
Sensor,1.0N,1.5N,2.0N,2.5N,3.0N,3.5N,4.0N,4.5N,5.0N,5.5N,6.0N,6.5N,7.0N,7.5N,8.0N,8.5N,9.0N,9.5N,10.0N,Avg Err
P1,41.95365717650044,17.42801393011577,7.43826313401014,3.5491512675090986,1.5083609962327136,0.3290030468157265,1.5625042725896205,1.8458166090574963,1.9509637847204158,2.272082387749384,2.2390572944987013,2.1045162088507277,2.0150348244490193,1.9598670632678703,1.9456628000220308,1.713906630862157,1.2768374356354266,0.7851308834497298,0.40321214712972114,4.962160099656115
P1,,,,,,,,,,,,,,,,,,,,
P1,,,,,,,,,,,,,,,,,,,,
P1,,,,,,,,,,,,,,,,,,,,
P1,,,,,,,,,,,,,,,,,,,,

Method: True_2_points
Sensor,1.0N,1.5N,2.0N,2.5N,3.0N,3.5N,4.0N,4.5N,5.0N,5.5N,6.0N,6.5N,7.0N,7.5N,8.0N,8.5N,9.0N,9.5N,10.0N,Avg Err
P1,44.08936735913455,20.10128808773688,10.143665478607995,6.132109310198365,3.948517747542243,1.9862925546683214,0.6316076510983486,0.22185981676045669,7.483138272795645e-08,0.4229450564739137,0.48915684901737877,0.447624396897804,0.44357499841046216,0.4674613510786309,0.5266651831619232,0.3667880275678722,9.991982548596812e-08,0.4247605742172491,0.7446486265173098,4.820438591781101
P1,,,,,,,,,,,,,,,,,,,,
P1,,,,,,,,,,,,,,,,,,,,
P1,,,,,,,,,,,,,,,,,,,,
P1,,,,,,,,,,,,,,,,,,,,

