Method: 500-1kg, 0925
Sensor,1.0N,1.5N,2.0N,2.5N,3.0N,3.5N,4.0N,4.5N,5.0N,5.5N,6.0N,6.5N,7.0N,7.5N,8.0N,8.5N,9.0N,9.5N,10.0N,Avg Err
P1,47.27515913287808,38.09001563026266,33.316204853603395,30.17767168378276,27.737832887505853,26.008059600718124,25.333965121641345,24.96686494028832,24.428637042990452,23.619023569197964,22.975758067486538,22.206239247114592,21.489683891749976,21.236286815857298,20.920510608678384,20.673942937039257,20.845872237897876,21.11643766458755,21.315237986962533,25.985968627381208
P2,99.81869004495383,99.86517320231482,99.84632488000436,98.68380244973824,66.60222383219525,47.11964859848685,31.084078364529574,26.29288947194333,24.87863100418409,23.409243521999453,21.07371612818842,19.000312813618297,18.67075170078018,18.270083557811756,17.07335968280466,15.961277814490046,15.435830040969504,15.472918704957754,15.93864528319947,40.76303163669315
P3,99.70846981170001,99.68447981781283,76.5463886944309,59.07953174613536,39.53967199752443,32.205396006141164,22.550680031060608,17.529040472914257,17.053934241625328,15.190246932933494,11.442478025195966,8.40883667654945,4.9319056272256985,2.7988306064793167,2.348512892981949,2.8029363566546905,3.917091809487742,5.127066861740044,6.5846990148915365,27.76053671702551
P4,67.07372807339439,57.142962654932624,46.1059646578192,33.67980821718777,27.258152063457864,22.08738153397554,17.075328726187774,14.616356183112497,13.03550292865574,12.455555129439883,12.032313994407756,11.491831057803259,11.315344330015447,10.890321574009736,10.31340261264418,9.716601409709819,9.072185460029747,8.461778163111594,7.96310287085097,21.146716928460304
P5,89.18985102517198,69.35553168772012,47.505461440021875,32.43452713968171,21.926519071806986,14.9660719775404,10.615906894007512,8.02674807640668,6.381412278920089,5.040363685162868,3.3696601467580725,2.0584325625651863,1.215697590578932,0.5958148139532317,0.30438716287643414,0.2786478502487697,0.2657635150278555,0.20316659792600128,0.18850166517622316,16.52223500955531
P6,80.52457500201382,78.70678524944461,65.29916873276633,49.60271050478144,41.001992310303955,34.226761618974486,28.53362968468336,24.516187193234963,20.58499229645741,16.19477783832548,13.247603581422107,11.468960028212221,10.453706695214693,9.472780797102235,8.353456491306464,6.931407830885242,5.9656319066735986,5.36825878248525,5.083872244156876,27.13353993623393
P7,99.0322029787393,67.41362707782724,44.846610135197885,33.89263504989717,26.607050300427616,19.008508508214092,14.49395973230134,11.516359581232397,9.418343463384295,8.77551019496443,8.767525275846106,8.735029691045055,8.22307872880621,7.923221617345504,7.740756099965411,7.577076528743727,7.4775357600881875,7.519218135106004,7.769421391212787,21.407245802649726
P8,33.25256920145987,27.813718056088877,23.772036551110062,20.521828683103333,17.88394466247214,15.74442336288017,14.221860854406835,12.915314240938168,11.601084893106943,9.609802188316843,7.879371914247901,6.581395907668411,5.369273530689629,4.284221835609273,3.818254555906415,3.258926226045183,2.4207934252990624,1.7337571231580102,1.052226407116203,11.775515979980174
P9,42.26662416604256,34.022304888586035,26.981201458104206,22.271770483788664,18.731349206813313,15.83077684796854,13.472012804228962,11.6878377854082,9.162806472849084,7.312301907649791,5.9088896160606525,4.527001004313747,2.9454980335215204,1.4759547042829453,0.33347770623780415,0.4792965343795452,1.4162670583457149,2.2794998142746445,2.805766774236827,11.784770382478566
P10,61.62959324301345,45.19724187646976,38.684372230002964,34.17749243319709,27.31221031861668,20.35592201131012,15.28119242473609,10.976813200876471,7.233040602176451,4.281141950166651,2.6104690140995324,1.6361365559800034,0.39930971606834775,0.0009235438832013699,0.7748075437805607,2.0946060744748904,3.0142385217423686,3.4788952827033404,3.736451714435623,14.888150434617557
P11,34.689841004946416,22.306658911889578,15.101016508829336,11.497823226006409,8.142111383656607,6.077792505374755,5.2615152504335265,4.599238200576001,3.6915822316290186,2.760308983648258,1.6835934249964606,0.8197401064363874,0.0158076344987261,0.6847638844762498,0.9474634698252421,1.2344267608980577,1.7459928002138738,2.2675423865741693,2.464646608082851,6.631150804367995
P12,86.37124456951751,69.8505019062566,58.18117827826289,50.99884180105967,47.10914706850807,44.13116396008062,41.57225127089193,39.47001263060886,37.870409235208946,37.05941952876604,36.32823698330187,35.14914245949807,33.950945979445855,33.234929452228286,32.59908861382446,32.079882678924335,31.985854508547906,31.87660437432651,31.66812691433177,42.709841169136325
P13,80.01578449129947,74.39275495678078,55.95013866832977,42.095130391144316,31.126763544414654,19.83284496141388,14.08471866493962,11.099569529687518,8.582490795104745,6.664503445598253,5.231459945593168,4.626632118989098,4.500840807099419,4.831264394881385,5.195879639607021,5.485636211656304,5.691324312752709,5.804959795025478,5.905149412143107,20.585149794024243
P14,74.69798565216597,60.23295465625365,50.76072222088819,43.54691385941035,35.62355113642531,28.373952624222436,22.358561829768135,16.188373446952493,8.80205313103703,4.525983455786263,1.7750451719789468,0.237113312517945,0.010920319924068113,0.47463662286902003,0.8980538845345875,0.9383203398250002,0.6755422788266792,0.44505098441565627,0.306332130189225,18.466950897789
P15,87.78402524473229,80.01333597405507,67.04565591331703,38.88387966060423,19.977261415778436,9.989555306136086,5.949617805855405,5.651272992581256,6.847775539613377,7.117233212809584,5.924377794368963,4.726911927336136,4.392106376893232,4.141161882592411,4.049472080177731,3.936070172197212,4.517139973459079,4.928622192542863,5.537677382165051,19.548060676169232
P16,3.5987255667511313,3.8352713349705323,5.481641211333311,0.08800842053954605,0.3376988203713439,0.32104579947798473,1.5448378616322183,2.348425918154403,2.492991443539723,2.7217999568706963,2.9341592305969044,5.208062013196988,6.04400453670976,4.935452367689415,3.487600221229293,1.8549517448454107,0.9509041050740771,0.7103883205153749,0.42740728285818347,2.5959671661240162
P17,99.08786373866857,98.35678204558748,89.00865164359149,68.90070827159386,43.06397495128836,28.98224620662565,18.84759428812266,15.120310212507597,8.697395797206099,0.7012541870135499,4.227719059955608,7.1782076046081995,6.322393620730378,4.693838567525242,3.4989375067808473,2.157639165264106,0.9417712936956886,0.16922922789061137,1.9048809344348026,26.413757806478465
P18,99.88957014427405,99.87761100305843,69.88753488009917,44.70247813390089,30.099325497095652,20.46046955766868,14.207333704529475,7.996263133941247,3.267773034207735,2.305516036362731,5.5186280508167345,7.104068517028618,7.5862879932691865,7.591141937140772,7.322143422909781,7.00944375066988,6.651467418325403,6.0098784942108,5.510243340064664,23.841956739451263
